OG_name,OG size (number of genomes),OG size (total number of genes)
OG_0,5,5
OG_1,5,5
OG_2,5,5
OG_3,4,4
OG_4,5,5
OG_5,4,4
OG_6,5,5
OG_7,5,5
OG_8,5,5
OG_9,5,5
OG_10,3,3
OG_11,5,5
OG_12,5,5
OG_13,5,5
OG_14,5,5
OG_15,5,5
OG_16,5,5
OG_17,5,5
OG_18,5,5
OG_19,5,5
OG_20,5,5
OG_21,5,5
OG_22,5,5
OG_23,5,5
OG_24,5,5
OG_25,5,5
OG_26,4,4
OG_27,5,5
OG_28,5,5
OG_29,5,5
OG_30,5,5
OG_31,5,5
OG_32,5,5
OG_33,5,5
OG_34,4,4
OG_35,5,5
OG_36,5,5
OG_37,5,5
OG_38,5,5
OG_39,5,5
OG_40,5,5
OG_41,5,5
OG_42,5,5
OG_43,5,5
OG_44,5,5
OG_45,5,5
OG_46,5,5
OG_47,5,5
OG_48,5,5
OG_49,5,5
OG_50,5,5
OG_51,5,5
OG_52,5,5
OG_53,5,5
OG_54,5,5
OG_55,5,5
OG_56,5,5
OG_57,4,4
OG_58,5,5
OG_59,5,5
OG_60,5,5
OG_61,5,5
OG_62,5,5
OG_63,5,5
OG_64,5,5
OG_65,5,5
OG_66,5,5
OG_67,5,5
OG_68,5,5
OG_69,5,5
OG_70,5,5
OG_71,5,5
OG_72,5,5
OG_73,5,5
OG_74,5,5
OG_75,5,5
OG_76,3,3
OG_77,3,3
OG_78,5,5
OG_79,5,5
OG_80,5,5
OG_81,5,5
OG_82,5,5
OG_83,5,5
OG_84,5,5
OG_85,5,5
OG_86,5,5
OG_87,5,5
OG_88,5,5
OG_89,5,5
OG_90,5,5
OG_91,5,5
OG_92,5,5
OG_93,5,5
OG_94,3,3
OG_95,3,3
OG_96,3,3
OG_97,2,2
OG_98,3,3
OG_99,3,3
OG_100,3,3
OG_101,5,5
OG_102,4,5
OG_103,2,2
OG_104,2,2
OG_105,2,2
OG_106,2,2
OG_107,2,2
OG_108,2,2
OG_109,4,4
OG_110,2,2
OG_111,1,2
OG_112,2,2
OG_113,3,4
OG_114,3,3
OG_115,2,2
OG_116,3,3
OG_117,2,2
OG_118,2,2
OG_119,3,4
OG_120,3,3
OG_121,2,2
OG_122,3,3
OG_123,3,4
OG_124,3,4
OG_125,3,4
OG_126,4,7
OG_127,3,4
OG_128,4,4
OG_129,3,3
OG_130,3,3
OG_131,2,2
OG_132,3,4
OG_133,3,4
OG_134,2,2
OG_135,4,6
OG_136,4,6
OG_137,5,8
OG_138,2,2
OG_139,3,4
OG_140,3,3
OG_141,2,2
OG_142,3,3
OG_143,3,4
OG_144,3,4
OG_145,3,3
OG_146,3,7
OG_147,5,12
OG_148,3,6
OG_149,2,4
OG_150,5,5
OG_151,3,4
OG_152,3,4
OG_153,3,4
OG_154,5,5
OG_155,5,5
OG_156,5,5
OG_157,5,5
OG_158,3,3
OG_159,3,3
OG_160,3,3
OG_161,5,5
