OG_name,Ecoli_APEC_O1,Ecoli_JJ1886,Ecoli_UMN026,Sboydii_Sb227,Sflexneri_5_8401
OG_0,1,1,1,1,1
OG_1,1,1,1,1,1
OG_2,1,1,1,1,1
OG_3,1,1,1,1,1
OG_4,1,1,1,1,1
OG_5,1,1,1,1,1
OG_6,1,1,1,1,1
OG_7,1,1,1,1,1
OG_8,1,1,1,1,1
OG_9,1,1,1,1,1
OG_10,1,1,1,0,1
OG_11,1,1,1,1,1
OG_12,1,1,1,1,1
OG_13,1,1,1,1,1
OG_14,1,1,0,0,0
OG_15,1,1,0,0,0
OG_16,1,1,0,0,0
OG_17,1,1,1,1,1
OG_18,1,1,1,1,1
OG_19,1,1,1,1,1
OG_20,1,1,1,1,1
OG_21,1,1,1,1,1
OG_22,1,1,1,1,1
OG_23,1,1,1,1,1
OG_24,1,1,1,1,1
OG_25,1,1,1,1,1
OG_26,1,1,0,0,0
OG_27,1,1,1,1,1
OG_28,1,1,1,1,1
OG_29,1,1,1,1,1
OG_30,1,2,2,0,0
OG_31,1,1,1,0,1
OG_32,1,1,1,0,1
OG_33,1,1,1,0,1
OG_34,1,1,1,0,1
OG_35,1,1,1,0,1
OG_36,1,1,1,0,1
OG_37,1,1,1,0,1
OG_38,1,1,1,0,1
OG_39,1,1,1,0,1
OG_40,1,1,1,0,1
OG_41,1,1,1,0,1
OG_42,1,1,1,1,1
OG_43,1,1,1,1,1
OG_44,1,1,1,1,1
OG_45,1,1,1,1,1
OG_46,1,1,0,0,0
OG_47,1,1,1,1,1
OG_48,1,1,1,1,1
OG_49,1,1,1,1,1
OG_50,1,1,1,1,1
OG_51,1,1,1,1,1
OG_52,1,1,1,1,1
OG_53,1,1,1,1,1
OG_54,1,1,1,1,1
OG_55,1,1,1,1,1
OG_56,1,1,1,1,1
OG_57,1,1,1,1,1
OG_58,1,1,1,1,1
OG_59,1,1,1,1,1
OG_60,1,1,1,1,1
OG_61,1,1,1,1,1
OG_62,1,1,1,1,1
OG_63,1,1,1,1,1
OG_64,1,1,1,1,1
OG_65,1,1,1,1,1
OG_66,1,1,1,1,1
OG_67,1,1,1,1,1
OG_68,1,1,1,1,1
OG_69,1,1,1,1,1
OG_70,1,1,1,1,1
OG_71,1,1,1,1,1
OG_72,1,1,1,1,1
OG_73,1,1,1,1,1
OG_74,1,1,1,1,1
OG_75,1,1,1,1,1
OG_76,1,1,1,1,1
OG_77,1,1,1,1,1
OG_78,1,1,1,1,1
OG_79,1,1,1,1,1
OG_80,1,1,1,1,1
OG_81,1,1,1,1,1
OG_82,1,1,1,1,1
OG_83,1,1,1,1,1
OG_84,1,1,1,1,1
OG_85,1,1,1,1,1
OG_86,1,1,1,1,1
OG_87,1,1,1,1,1
OG_88,1,1,1,1,1
OG_89,1,1,1,1,1
OG_90,1,1,1,1,1
OG_91,1,1,1,1,1
OG_92,1,1,1,1,1
OG_93,1,1,1,1,1
OG_94,1,1,1,1,1
OG_95,1,1,1,1,1
OG_96,1,1,1,1,1
OG_97,1,1,1,1,1
OG_98,1,1,1,1,1
OG_99,1,1,1,1,1
OG_100,1,1,1,0,1
OG_101,1,1,1,1,1
OG_102,1,1,1,1,1
OG_103,1,1,1,1,1
OG_104,1,1,1,1,1
OG_105,1,1,0,0,0
OG_106,1,1,0,0,0
OG_107,1,1,0,0,0
OG_108,1,1,0,0,0
OG_109,1,1,1,1,1
OG_110,1,1,1,1,1
OG_111,1,1,1,1,1
OG_112,1,1,1,1,1
OG_113,1,1,1,1,1
OG_114,1,1,1,1,1
OG_115,1,1,1,1,1
OG_116,1,1,1,1,1
OG_117,1,1,1,1,1
OG_118,1,1,1,1,1
OG_119,1,1,1,1,1
OG_120,1,1,1,1,1
OG_121,1,1,1,1,1
OG_122,1,1,1,1,1
OG_123,1,1,1,1,1
OG_124,1,1,1,1,1
OG_125,1,1,1,0,1
OG_126,1,1,1,1,1
OG_127,1,1,1,1,1
OG_128,1,1,1,1,1
OG_129,1,1,1,1,1
OG_130,1,1,1,0,0
OG_131,1,1,1,0,0
OG_132,1,1,0,0,0
OG_133,1,1,1,0,0
OG_134,1,1,1,0,0
OG_135,1,1,1,1,0
OG_136,1,1,1,0,0
OG_137,1,1,1,1,1
OG_138,1,1,1,1,1
OG_139,1,1,1,1,1
OG_140,1,1,1,1,1
OG_141,1,1,1,1,1
OG_142,1,1,1,1,1
OG_143,1,1,1,1,1
OG_144,1,1,1,1,1
OG_145,1,1,1,1,1
OG_146,1,1,1,1,1
OG_147,1,1,1,1,1
OG_148,1,1,1,1,1
OG_149,1,1,1,1,1
OG_150,1,1,1,1,1
OG_151,1,1,1,1,1
OG_152,1,1,1,1,1
OG_153,1,1,1,1,1
OG_154,1,1,1,1,1
OG_155,1,1,1,1,1
OG_156,1,1,1,1,1
OG_157,1,1,1,1,0
OG_158,1,1,1,1,1
OG_159,1,1,1,1,1
OG_160,1,1,1,1,1
OG_161,1,1,1,1,1
OG_162,1,1,1,1,1
OG_163,1,1,1,1,1
OG_164,1,1,1,1,1
OG_165,1,1,1,1,1
OG_166,1,1,1,1,1
OG_167,1,1,1,1,1
OG_168,1,1,0,0,0
OG_169,1,1,1,1,1
OG_170,1,1,1,1,1
OG_171,1,1,1,1,1
OG_172,1,1,1,1,1
OG_173,1,1,1,1,1
OG_174,1,1,1,1,1
OG_175,1,1,1,1,1
OG_176,1,1,1,1,1
OG_177,1,1,1,1,1
OG_178,1,1,1,1,1
OG_179,1,1,1,1,1
OG_180,1,1,1,0,1
OG_181,1,1,1,1,1
OG_182,1,1,1,1,0
OG_183,1,1,1,1,1
OG_184,1,1,1,1,1
OG_185,1,1,1,1,1
OG_186,1,1,1,1,1
OG_187,1,1,1,1,1
OG_188,1,1,1,0,1
OG_189,1,1,1,1,1
OG_190,1,1,1,1,1
OG_191,1,1,1,1,1
OG_192,1,1,1,1,1
OG_193,1,1,1,1,1
OG_194,1,1,1,1,1
OG_195,1,1,1,1,1
OG_196,2,0,0,0,0
OG_197,2,0,0,0,0
OG_198,1,1,1,1,1
OG_199,1,1,1,1,1
OG_200,1,1,1,1,1
OG_201,1,1,1,1,1
OG_202,1,1,1,1,1
OG_203,1,1,1,1,1
OG_204,1,1,1,1,1
OG_205,1,1,1,1,1
OG_206,1,1,1,1,1
OG_207,1,0,1,0,0
OG_208,2,1,1,0,0
OG_209,1,0,1,0,0
OG_210,1,0,1,0,0
OG_211,1,0,1,0,0
OG_212,1,0,1,0,0
OG_213,1,0,1,0,0
OG_214,1,0,1,0,0
OG_215,1,0,1,0,0
OG_216,1,0,1,0,0
OG_217,1,0,1,0,0
OG_218,1,0,1,0,0
OG_219,1,0,1,0,0
OG_220,1,0,1,0,0
OG_221,1,0,1,0,0
OG_222,1,0,1,0,0
OG_223,1,0,1,0,0
OG_224,1,0,1,0,0
OG_225,1,0,1,0,0
OG_226,1,0,1,0,0
OG_227,1,1,1,1,1
OG_228,1,1,1,1,1
OG_229,1,1,1,1,1
OG_230,1,1,1,1,1
OG_231,1,1,1,1,1
OG_232,1,1,1,1,1
OG_233,1,1,1,0,0
OG_234,1,1,1,0,1
OG_235,1,1,1,0,1
OG_236,1,1,1,0,1
OG_237,1,1,1,0,1
OG_238,1,0,1,0,1
OG_239,1,0,0,0,1
OG_240,1,1,1,0,1
OG_241,1,1,1,0,1
OG_242,1,1,1,1,1
OG_243,1,1,1,1,1
OG_244,1,1,1,1,1
OG_245,1,1,1,1,1
OG_246,1,1,1,1,1
OG_247,1,1,1,1,1
OG_248,1,1,1,1,1
OG_249,1,1,1,1,1
OG_250,1,1,0,0,0
OG_251,1,1,1,1,0
OG_252,1,1,1,0,0
OG_253,1,1,1,0,0
OG_254,1,1,1,0,0
OG_255,1,1,1,1,0
OG_256,1,1,1,1,0
OG_257,1,1,1,1,0
OG_258,1,1,1,1,0
OG_259,1,1,1,1,0
