OG_name,OG size (number of genomes),OG size (total number of genes)
OG_0,41,41
OG_1,41,41
OG_2,41,41
OG_3,40,40
OG_4,25,25
OG_5,40,40
OG_6,41,41
OG_7,41,41
OG_8,41,41
OG_9,41,41
OG_10,41,41
OG_11,41,41
OG_12,41,41
OG_13,41,41
OG_14,41,41
OG_15,41,41
OG_16,41,41
OG_17,41,41
OG_18,41,41
OG_19,41,41
OG_20,41,41
OG_21,41,41
OG_22,41,41
OG_23,41,41
OG_24,41,41
OG_25,41,41
OG_26,41,41
OG_27,41,41
OG_28,41,41
OG_29,41,41
OG_30,41,41
OG_31,41,41
OG_32,25,25
OG_33,41,41
OG_34,40,40
OG_35,41,42
OG_36,41,41
OG_37,41,41
OG_38,41,41
OG_39,41,41
OG_40,40,40
OG_41,40,40
OG_42,40,40
OG_43,41,41
OG_44,41,41
OG_45,41,41
OG_46,25,25
OG_47,26,26
OG_48,40,40
OG_49,41,41
OG_50,41,41
OG_51,40,40
OG_52,40,40
OG_53,40,40
OG_54,41,41
OG_55,40,40
OG_56,21,21
OG_57,18,18
OG_58,40,40
OG_59,41,41
OG_60,41,41
OG_61,41,41
OG_62,40,40
OG_63,40,40
OG_64,40,40
OG_65,40,40
OG_66,40,40
OG_67,39,39
OG_68,41,41
OG_69,40,40
OG_70,40,40
OG_71,39,39
OG_72,25,25
OG_73,41,41
OG_74,40,40
OG_75,21,21
OG_76,40,40
OG_77,38,38
OG_78,40,40
OG_79,40,40
OG_80,41,41
OG_81,40,40
OG_82,41,41
OG_83,41,41
OG_84,41,41
OG_85,40,40
OG_86,41,41
OG_87,2,2
OG_88,3,3
OG_89,41,41
OG_90,25,25
OG_91,41,41
OG_92,41,41
OG_93,41,41
OG_94,41,41
OG_95,40,40
OG_96,41,41
OG_97,40,40
OG_98,5,5
OG_99,23,23
OG_100,40,40
OG_101,39,39
OG_102,24,25
OG_103,41,41
OG_104,41,41
OG_105,38,38
OG_106,40,40
OG_107,41,41
OG_108,40,40
OG_109,25,25
OG_110,41,41
OG_111,24,24
OG_112,24,24
OG_113,40,40
OG_114,41,41
OG_115,41,41
OG_116,41,41
OG_117,40,40
OG_118,40,40
OG_119,40,40
OG_120,41,41
OG_121,23,23
OG_122,41,41
OG_123,41,41
OG_124,41,41
OG_125,41,41
OG_126,41,41
OG_127,40,40
OG_128,21,21
OG_129,21,21
OG_130,41,41
OG_131,40,40
OG_132,25,25
OG_133,40,40
OG_134,37,37
OG_135,41,41
OG_136,40,40
OG_137,41,41
OG_138,41,41
OG_139,41,41
OG_140,41,41
OG_141,41,41
OG_142,40,40
OG_143,40,40
OG_144,41,41
OG_145,40,40
OG_146,41,41
OG_147,40,40
OG_148,23,23
OG_149,21,21
OG_150,39,39
OG_151,41,41
OG_152,41,41
OG_153,41,41
OG_154,40,40
OG_155,41,41
OG_156,41,41
OG_157,40,40
OG_158,40,40
OG_159,26,26
OG_160,41,41
OG_161,40,40
OG_162,41,41
OG_163,26,26
OG_164,40,40
OG_165,41,41
OG_166,36,36
OG_167,41,42
OG_168,25,25
OG_169,40,40
OG_170,40,40
OG_171,41,41
OG_172,40,40
OG_173,40,40
OG_174,39,39
OG_175,21,21
OG_176,25,25
OG_177,40,40
OG_178,40,40
OG_179,41,41
OG_180,20,20
OG_181,40,40
OG_182,40,40
OG_183,41,41
OG_184,41,41
OG_185,41,41
OG_186,40,40
OG_187,25,25
OG_188,40,40
OG_189,40,40
OG_190,21,21
OG_191,40,40
OG_192,25,25
OG_193,40,40
OG_194,41,41
OG_195,5,5
OG_196,40,40
OG_197,26,26
OG_198,40,40
OG_199,41,41
OG_200,40,40
OG_201,21,21
OG_202,20,20
OG_203,23,25
OG_204,21,21
OG_205,25,25
OG_206,23,23
OG_207,40,40
OG_208,20,20
OG_209,2,2
OG_210,3,3
OG_211,4,4
OG_212,3,3
OG_213,3,3
OG_214,4,4
OG_215,20,20
OG_216,20,20
OG_217,18,24
OG_218,40,40
OG_219,14,16
OG_220,5,5
OG_221,20,36
OG_222,23,23
OG_223,23,23
OG_224,40,40
OG_225,40,40
OG_226,41,41
OG_227,41,41
OG_228,25,25
OG_229,39,39
OG_230,40,40
OG_231,25,25
OG_232,40,40
OG_233,4,4
OG_234,41,41
OG_235,41,41
OG_236,21,21
OG_237,19,19
OG_238,5,5
OG_239,21,21
OG_240,17,17
OG_241,40,40
OG_242,41,41
OG_243,40,40
OG_244,41,41
OG_245,22,22
OG_246,40,40
OG_247,25,25
OG_248,41,41
OG_249,40,40
OG_250,41,41
OG_251,41,41
OG_252,40,40
OG_253,19,19
OG_254,39,39
OG_255,40,40
OG_256,40,40
OG_257,41,41
OG_258,41,41
OG_259,40,40
OG_260,41,41
OG_261,23,23
OG_262,40,40
OG_263,40,40
OG_264,40,40
OG_265,41,41
OG_266,41,41
OG_267,40,40
OG_268,20,20
OG_269,39,39
OG_270,40,40
