OG_name,OG size (number of genomes),OG size (total number of genes)
OG_0,41,41
OG_1,40,40
OG_2,39,39
OG_3,41,41
OG_4,40,40
OG_5,40,40
OG_6,40,40
OG_7,40,40
OG_8,40,40
OG_9,41,41
OG_10,41,41
OG_11,41,41
OG_12,40,40
OG_13,40,40
OG_14,40,40
OG_15,40,40
OG_16,40,40
OG_17,41,41
OG_18,41,41
OG_19,40,40
OG_20,41,41
OG_21,41,41
OG_22,41,41
OG_23,26,26
OG_24,39,39
OG_25,41,41
OG_26,40,40
OG_27,40,40
OG_28,40,40
OG_29,40,40
OG_30,40,40
OG_31,40,40
OG_32,40,40
OG_33,40,40
OG_34,41,41
OG_35,41,41
OG_36,40,40
OG_37,40,40
OG_38,40,40
OG_39,40,40
OG_40,40,40
OG_41,41,41
OG_42,41,41
OG_43,41,41
OG_44,41,41
OG_45,41,41
OG_46,40,40
OG_47,40,40
OG_48,40,40
OG_49,41,41
OG_50,41,41
OG_51,40,40
OG_52,41,41
OG_53,40,40
OG_54,23,23
OG_55,40,40
OG_56,41,41
OG_57,41,41
OG_58,41,41
OG_59,41,41
OG_60,41,41
OG_61,41,41
OG_62,21,21
OG_63,23,23
OG_64,40,40
OG_65,3,3
OG_66,40,40
OG_67,23,23
OG_68,40,40
OG_69,40,40
OG_70,40,40
OG_71,40,40
OG_72,40,40
OG_73,40,40
OG_74,41,41
OG_75,41,41
OG_76,22,22
OG_77,41,41
OG_78,41,41
OG_79,41,42
OG_80,41,41
OG_81,41,41
OG_82,19,19
OG_83,3,3
OG_84,2,2
OG_85,41,41
OG_86,40,40
OG_87,41,41
OG_88,40,40
OG_89,40,40
OG_90,41,41
OG_91,41,41
OG_92,40,40
OG_93,39,39
OG_94,25,25
OG_95,41,41
OG_96,41,41
OG_97,41,41
OG_98,41,41
OG_99,41,41
OG_100,41,41
OG_101,41,41
OG_102,41,41
OG_103,41,41
OG_104,41,41
OG_105,41,41
OG_106,41,41
OG_107,41,41
OG_108,41,41
OG_109,41,41
OG_110,41,41
OG_111,41,41
OG_112,41,41
OG_113,41,41
OG_114,41,41
OG_115,41,41
OG_116,41,41
OG_117,41,41
OG_118,41,41
OG_119,41,41
OG_120,25,25
OG_121,41,41
OG_122,40,40
OG_123,41,42
OG_124,41,41
OG_125,41,41
OG_126,41,41
OG_127,41,41
OG_128,40,40
OG_129,40,40
OG_130,41,41
OG_131,41,41
OG_132,41,41
OG_133,25,25
OG_134,26,26
OG_135,40,40
OG_136,41,41
OG_137,41,41
OG_138,40,40
OG_139,40,40
OG_140,41,41
OG_141,40,40
OG_142,21,21
OG_143,18,18
OG_144,40,40
OG_145,41,41
OG_146,41,41
OG_147,41,41
OG_148,40,40
OG_149,40,40
OG_150,40,40
OG_151,40,40
OG_152,39,39
OG_153,41,41
OG_154,40,40
OG_155,40,40
OG_156,39,39
OG_157,25,25
OG_158,41,41
OG_159,21,21
OG_160,40,40
OG_161,38,38
OG_162,40,40
OG_163,40,40
OG_164,41,41
OG_165,40,40
OG_166,41,41
OG_167,41,41
OG_168,41,41
OG_169,41,41
OG_170,2,2
OG_171,3,3
OG_172,41,41
OG_173,25,25
OG_174,41,41
OG_175,41,41
OG_176,41,41
OG_177,41,41
OG_178,40,40
OG_179,40,40
OG_180,5,5
OG_181,23,23
OG_182,40,40
OG_183,39,39
OG_184,24,25
OG_185,41,41
OG_186,41,41
OG_187,38,38
OG_188,40,40
OG_189,40,40
OG_190,25,25
OG_191,41,41
OG_192,24,24
OG_193,24,24
OG_194,40,40
OG_195,41,41
OG_196,41,41
OG_197,41,41
OG_198,40,40
OG_199,41,41
OG_200,23,23
OG_201,41,41
OG_202,41,41
OG_203,41,41
OG_204,41,41
OG_205,41,41
OG_206,40,40
OG_207,21,21
OG_208,21,21
OG_209,40,40
OG_210,25,25
OG_211,40,40
OG_212,37,37
OG_213,41,41
OG_214,40,40
OG_215,41,41
OG_216,41,41
OG_217,41,41
OG_218,41,41
OG_219,40,40
OG_220,40,40
OG_221,41,41
OG_222,40,40
OG_223,41,41
OG_224,40,40
OG_225,23,23
OG_226,21,21
OG_227,39,39
OG_228,41,41
OG_229,41,41
OG_230,40,40
OG_231,41,41
OG_232,41,41
OG_233,40,40
OG_234,40,40
OG_235,26,26
OG_236,41,41
OG_237,40,40
OG_238,41,41
OG_239,40,40
OG_240,41,41
OG_241,36,36
OG_242,41,42
OG_243,25,25
OG_244,40,40
OG_245,40,40
OG_246,41,41
OG_247,40,40
OG_248,40,40
OG_249,21,21
OG_250,25,25
OG_251,40,40
OG_252,40,40
OG_253,41,41
OG_254,20,20
OG_255,40,40
OG_256,40,40
OG_257,41,41
OG_258,41,41
OG_259,40,40
OG_260,25,25
OG_261,40,40
OG_262,40,40
OG_263,21,21
OG_264,40,40
OG_265,25,25
OG_266,40,40
OG_267,41,41
OG_268,5,5
OG_269,26,26
OG_270,40,40
OG_271,41,41
OG_272,40,40
OG_273,21,21
OG_274,20,20
OG_275,23,25
OG_276,21,21
OG_277,25,25
OG_278,23,23
OG_279,20,20
OG_280,2,2
OG_281,3,3
OG_282,4,4
OG_283,3,3
OG_284,3,3
OG_285,4,4
OG_286,20,20
OG_287,20,20
OG_288,18,24
OG_289,14,16
OG_290,5,5
OG_291,20,36
OG_292,23,23
OG_293,23,23
OG_294,40,40
OG_295,40,40
OG_296,41,41
OG_297,41,41
OG_298,25,25
OG_299,25,25
OG_300,40,40
OG_301,4,4
OG_302,41,41
OG_303,41,41
OG_304,21,21
OG_305,19,19
OG_306,5,5
OG_307,21,21
OG_308,17,17
OG_309,41,41
OG_310,40,40
OG_311,41,41
OG_312,22,22
OG_313,40,40
OG_314,25,25
OG_315,41,41
OG_316,40,40
OG_317,41,41
OG_318,41,41
OG_319,19,19
OG_320,39,39
OG_321,40,40
OG_322,40,40
OG_323,41,41
OG_324,41,41
OG_325,40,40
OG_326,41,41
OG_327,23,23
OG_328,40,40
OG_329,40,40
OG_330,41,41
OG_331,41,41
OG_332,40,40
OG_333,20,20
OG_334,39,39
OG_335,40,40
OG_336,41,41
OG_337,40,40
OG_338,41,41
OG_339,41,41
OG_340,22,22
OG_341,21,21
OG_342,21,21
OG_343,20,20
OG_344,40,40
OG_345,41,41
OG_346,41,41
OG_347,40,40
OG_348,41,41
OG_349,41,41
OG_350,41,41
OG_351,41,41
OG_352,41,41
OG_353,41,41
OG_354,23,23
OG_355,21,21
OG_356,22,22
OG_357,21,21
OG_358,41,41
OG_359,41,41
OG_360,41,41
OG_361,40,40
OG_362,40,40
OG_363,41,41
OG_364,23,23
OG_365,23,23
OG_366,41,41
OG_367,41,41
OG_368,41,41
OG_369,41,41
OG_370,3,3
OG_371,40,40
OG_372,41,41
OG_373,41,41
OG_374,40,40
OG_375,40,40
OG_376,40,40
OG_377,41,41
OG_378,15,15
OG_379,41,41
OG_380,41,41
OG_381,41,41
OG_382,40,40
OG_383,41,41
OG_384,40,40
OG_385,40,40
OG_386,40,40
OG_387,41,41
OG_388,40,40
OG_389,40,40
OG_390,40,40
OG_391,41,41
OG_392,21,21
OG_393,20,20
OG_394,4,4
OG_395,3,3
OG_396,40,40
OG_397,41,41
OG_398,40,40
OG_399,40,40
OG_400,40,40
OG_401,21,21
OG_402,17,17
OG_403,3,3
OG_404,21,21
OG_405,3,3
OG_406,40,40
OG_407,40,40
OG_408,39,39
OG_409,41,41
OG_410,40,40
OG_411,40,40
OG_412,41,41
OG_413,40,40
OG_414,40,40
OG_415,41,41
OG_416,40,40
OG_417,41,41
OG_418,39,39
OG_419,40,40
OG_420,39,39
OG_421,20,20
OG_422,23,23
OG_423,23,23
OG_424,41,41
OG_425,41,41
OG_426,41,41
OG_427,41,41
OG_428,40,40
OG_429,39,39
OG_430,21,21
OG_431,19,19
OG_432,21,21
OG_433,5,5
OG_434,41,41
OG_435,40,40
OG_436,40,40
OG_437,21,21
OG_438,41,41
OG_439,41,41
OG_440,41,41
OG_441,20,20
OG_442,41,41
OG_443,41,41
OG_444,40,40
OG_445,41,41
OG_446,40,40
OG_447,40,40
OG_448,40,40
OG_449,39,39
OG_450,40,40
OG_451,40,40
OG_452,41,41
OG_453,41,41
OG_454,41,41
OG_455,40,40
OG_456,30,30
OG_457,40,40
OG_458,40,40
OG_459,40,40
OG_460,40,40
OG_461,40,40
OG_462,40,40
OG_463,41,41
OG_464,40,40
OG_465,40,40
OG_466,41,41
OG_467,41,41
OG_468,41,41
OG_469,40,40
OG_470,41,41
OG_471,41,41
OG_472,41,41
OG_473,41,41
OG_474,41,41
OG_475,41,41
OG_476,41,41
OG_477,25,25
OG_478,40,40
OG_479,41,41
OG_480,41,41
OG_481,21,21
OG_482,39,39
OG_483,41,41
OG_484,41,41
OG_485,41,41
OG_486,24,24
OG_487,41,41
OG_488,40,40
OG_489,40,40
OG_490,41,41
OG_491,41,41
OG_492,41,41
OG_493,41,41
OG_494,41,41
OG_495,40,40
OG_496,40,40
OG_497,24,24
OG_498,23,23
OG_499,40,40
OG_500,41,41
OG_501,40,40
OG_502,24,24
OG_503,41,41
OG_504,21,21
OG_505,41,41
OG_506,41,41
OG_507,21,21
OG_508,23,23
OG_509,23,23
OG_510,23,23
OG_511,21,21
OG_512,40,40
OG_513,41,41
OG_514,41,41
OG_515,41,41
OG_516,40,40
OG_517,40,40
OG_518,40,40
OG_519,40,40
OG_520,21,21
OG_521,23,23
OG_522,17,17
OG_523,40,40
OG_524,40,40
OG_525,41,41
OG_526,40,40
OG_527,41,41
OG_528,39,39
OG_529,39,39
OG_530,38,38
OG_531,40,40
OG_532,22,22
OG_533,41,41
OG_534,40,40
OG_535,41,41
OG_536,21,21
OG_537,3,3
OG_538,41,41
OG_539,41,41
OG_540,40,40
OG_541,41,41
OG_542,20,20
OG_543,23,23
OG_544,21,21
OG_545,41,41
OG_546,41,41
OG_547,40,40
OG_548,41,41
OG_549,3,3
OG_550,39,39
OG_551,40,40
OG_552,21,21
OG_553,40,40
OG_554,40,40
OG_555,40,40
OG_556,21,21
OG_557,41,41
OG_558,41,41
OG_559,41,41
OG_560,41,41
OG_561,3,3
OG_562,3,3
OG_563,3,3
OG_564,17,17
OG_565,19,20
OG_566,20,20
OG_567,6,6
OG_568,4,4
OG_569,2,2
OG_570,11,11
OG_571,3,3
OG_572,23,23
OG_573,21,21
OG_574,20,20
OG_575,3,3
OG_576,3,3
OG_577,2,2
OG_578,2,2
OG_579,40,40
OG_580,40,40
OG_581,19,19
OG_582,18,18
OG_583,17,17
OG_584,40,40
OG_585,40,40
OG_586,40,40
OG_587,25,25
OG_588,40,40
OG_589,23,23
OG_590,40,40
OG_591,41,41
OG_592,40,40
OG_593,40,40
OG_594,40,40
OG_595,20,20
OG_596,40,40
OG_597,40,40
OG_598,40,40
OG_599,40,40
OG_600,40,40
OG_601,40,40
OG_602,41,41
OG_603,41,41
OG_604,40,40
OG_605,40,40
OG_606,39,39
OG_607,41,41
OG_608,40,40
OG_609,40,40
OG_610,23,23
OG_611,41,41
OG_612,41,41
OG_613,21,21
OG_614,4,4
OG_615,3,3
OG_616,23,23
OG_617,23,23
OG_618,40,40
OG_619,19,39
OG_620,40,40
OG_621,24,24
OG_622,25,25
OG_623,25,25
OG_624,41,41
OG_625,41,41
