strain,cluster
Chlamydia_abortus_strain_162STDY5437294,0
Chlamydia_abortus_strain_1B_cevac,0
Chlamydia_abortus_strain_GIMC_2006CabB577,0
Chlamydia_abortus_strain_NL2335-4C,0
Chlamydia_abortus_strain_NL2354-2D,0
Chlamydia_avium_10DC88,0
Chlamydia_buteonis_strain_IDL17-4553,0
Chlamydia_caviae_GPIC,0
Chlamydia_crocodili_strain_No._12,0
Chlamydia_felis_FeC-56,0
Chlamydia_gallinacea_08-12743,0
Chlamydia_muridarum_str._Nigg,1
Chlamydia_muridarum_str._Nigg_isolate_CM001,1
Chlamydia_muridarum_str._Nigg_isolate_CM008,1
Chlamydia_muridarum_str._Nigg_isolate_CM009,1
Chlamydia_muridarum_str._Nigg_isolate_CM021,1
Chlamydia_pecorum_E58,0
Chlamydia_poikilotherma_strain_S15-834K,0
Chlamydia_psittaci_01DC11,0
Chlamydia_psittaci_6BC,0
Chlamydia_psittaci_MN,0
Chlamydia_psittaci_WSRTE30,0
Chlamydia_psittaci_strain_AMK,0
Chlamydia_psittaci_strain_Ful127,0
Chlamydia_psittaci_strain_GIMC_2003Cps25SM,0
Chlamydia_psittaci_strain_GIMC_2004CpsAP23,0
Chlamydia_psittaci_strain_GIMC_2005CpsCP1,0
Chlamydia_psittaci_strain_NRM_isolate_NRM_5,0
Chlamydia_serpentis_strain_H15-1957-10C,0
Chlamydia_suis_isolate_4-29b,2
Chlamydia_trachomatis_A2497,2
Chlamydia_trachomatis_EBour,2
Chlamydia_trachomatis_L1115,2
Chlamydia_trachomatis_L2b820007,2
Chlamydia_trachomatis_L2bUCH-2,2
Chlamydia_trachomatis_RC-L255,2
Chlamydia_trachomatis_strain_E-32931,2
Chlamydia_trachomatis_strain_QH111L,2
Chlamydia_trachomatis_strain_tet9,2
Chlamydophila_parapsittaci_strain_Rostinovo-70,0
Waddlia_chondrophila_WSU_86-1044,-1
