Chlamydia_abortus_strain_162STDY5437294	Chlamydia_muridarum_str._Nigg_isolate_CM009
Chlamydia_abortus_strain_1B_cevac	Chlamydia_psittaci_strain_GIMC_2004CpsAP23
Chlamydia_abortus_strain_GIMC_2006CabB577	Chlamydia_trachomatis_strain_QH111L
Chlamydia_abortus_strain_NL2354-2D	Chlamydia_muridarum_str._Nigg_isolate_CM009
Chlamydia_avium_10DC88	Chlamydia_suis_isolate_4-29b
Chlamydia_caviae_GPIC	Chlamydia_muridarum_str._Nigg_isolate_CM001
Chlamydia_crocodili_strain_No._12	Chlamydia_trachomatis_A2497
Chlamydia_gallinacea_08-12743	Chlamydia_psittaci_6BC
Chlamydia_muridarum_str._Nigg	Waddlia_chondrophila_WSU_86-1044
Chlamydia_muridarum_str._Nigg_isolate_CM008	Chlamydia_trachomatis_RC-L255
Chlamydia_muridarum_str._Nigg_isolate_CM021	Chlamydia_trachomatis_L2bUCH-2
Chlamydia_poikilotherma_strain_S15-834K	Chlamydia_trachomatis_strain_QH111L
Chlamydia_psittaci_MN	Chlamydia_psittaci_strain_GIMC_2003Cps25SM
Chlamydia_psittaci_strain_AMK	Chlamydia_trachomatis_strain_QH111L
Chlamydia_psittaci_strain_GIMC_2004CpsAP23	Chlamydophila_parapsittaci_strain_Rostinovo-70
Chlamydia_suis_isolate_4-29b	Chlamydophila_parapsittaci_strain_Rostinovo-70
Chlamydia_trachomatis_strain_E-32931	Waddlia_chondrophila_WSU_86-1044
