Chlamydia_abortus_strain_162STDY5437294	Chlamydia_trachomatis_EBour
Chlamydia_abortus_strain_GIMC_2006CabB577	Chlamydia_abortus_strain_NL2354-2D
Chlamydia_abortus_strain_NL2335-4C	Chlamydia_poikilotherma_strain_S15-834K
Chlamydia_abortus_strain_NL2354-2D	Chlamydia_trachomatis_EBour
Chlamydia_buteonis_strain_IDL17-4553	Chlamydia_muridarum_str._Nigg_isolate_CM001
Chlamydia_caviae_GPIC	Chlamydia_suis_isolate_4-29b
Chlamydia_felis_FeC-56	Chlamydia_pecorum_E58
Chlamydia_gallinacea_08-12743	Chlamydia_trachomatis_strain_E-32931
Chlamydia_muridarum_str._Nigg_isolate_CM001	Chlamydia_suis_isolate_4-29b
Chlamydia_muridarum_str._Nigg_isolate_CM009	Chlamydia_psittaci_strain_GIMC_2005CpsCP1
Chlamydia_pecorum_E58	Chlamydia_psittaci_strain_NRM_isolate_NRM_5
Chlamydia_psittaci_01DC11	Chlamydia_trachomatis_L1115
Chlamydia_psittaci_WSRTE30	Chlamydia_psittaci_strain_AMK
Chlamydia_psittaci_strain_Ful127	Chlamydia_trachomatis_strain_QH111L
Chlamydia_psittaci_strain_NRM_isolate_NRM_5	Chlamydia_suis_isolate_4-29b
Chlamydia_trachomatis_EBour	Chlamydia_trachomatis_strain_QH111L
