Chlamydia_abortus_strain_1B_cevac	Chlamydia_crocodili_strain_No._12
Chlamydia_abortus_strain_GIMC_2006CabB577	Chlamydia_psittaci_MN
Chlamydia_abortus_strain_NL2335-4C	Chlamydia_trachomatis_L2b820007
Chlamydia_avium_10DC88	Chlamydia_muridarum_str._Nigg_isolate_CM001
Chlamydia_buteonis_strain_IDL17-4553	Chlamydia_serpentis_strain_H15-1957-10C
Chlamydia_crocodili_strain_No._12	Chlamydia_muridarum_str._Nigg_isolate_CM008
Chlamydia_felis_FeC-56	Chlamydia_trachomatis_L1115
Chlamydia_muridarum_str._Nigg	Chlamydia_psittaci_strain_Ful127
Chlamydia_muridarum_str._Nigg_isolate_CM008	Chlamydia_psittaci_01DC11
Chlamydia_muridarum_str._Nigg_isolate_CM021	Chlamydia_poikilotherma_strain_S15-834K
Chlamydia_poikilotherma_strain_S15-834K	Chlamydia_psittaci_MN
Chlamydia_psittaci_6BC	Chlamydia_psittaci_strain_NRM_isolate_NRM_5
Chlamydia_psittaci_WSRTE30	Chlamydia_trachomatis_strain_tet9
Chlamydia_psittaci_strain_GIMC_2003Cps25SM	Chlamydia_trachomatis_strain_QH111L
Chlamydia_serpentis_strain_H15-1957-10C	Chlamydia_trachomatis_L2b820007
Chlamydia_trachomatis_L2b820007	Chlamydia_trachomatis_strain_tet9
