Chlamydia_abortus_strain_162STDY5437294	Chlamydia_caviae_GPIC
Chlamydia_abortus_strain_1B_cevac	Chlamydia_psittaci_01DC11
Chlamydia_abortus_strain_GIMC_2006CabB577	Chlamydia_trachomatis_A2497
Chlamydia_abortus_strain_NL2354-2D	Chlamydia_caviae_GPIC
Chlamydia_avium_10DC88	Chlamydia_psittaci_strain_AMK
Chlamydia_buteonis_strain_IDL17-4553	Chlamydia_trachomatis_strain_tet9
Chlamydia_crocodili_strain_No._12	Chlamydia_psittaci_strain_Ful127
Chlamydia_gallinacea_08-12743	Chlamydia_muridarum_str._Nigg_isolate_CM001
Chlamydia_muridarum_str._Nigg	Chlamydia_trachomatis_L2b820007
Chlamydia_muridarum_str._Nigg_isolate_CM008	Chlamydia_serpentis_strain_H15-1957-10C
Chlamydia_muridarum_str._Nigg_isolate_CM021	Chlamydia_psittaci_strain_NRM_isolate_NRM_5
Chlamydia_poikilotherma_strain_S15-834K	Chlamydia_trachomatis_A2497
Chlamydia_psittaci_6BC	Chlamydia_trachomatis_strain_QH111L
Chlamydia_psittaci_strain_AMK	Chlamydia_trachomatis_A2497
Chlamydia_psittaci_strain_GIMC_2004CpsAP23	Chlamydia_trachomatis_L1115
Chlamydia_suis_isolate_4-29b	Chlamydia_trachomatis_L1115
Chlamydia_trachomatis_RC-L255	Chlamydia_trachomatis_strain_QH111L
