OG_name,OG size (number of genomes),OG size (total number of genes)
OG_0,40,40
OG_1,40,40
OG_2,40,40
OG_3,23,23
OG_4,23,23
OG_5,25,25
OG_6,40,40
OG_7,25,25
OG_8,40,40
OG_9,40,40
OG_10,40,40
OG_11,40,40
OG_12,40,40
OG_13,40,40
OG_14,40,40
OG_15,40,40
OG_16,40,40
OG_17,40,40
OG_18,40,40
OG_19,40,40
OG_20,40,40
OG_21,40,40
OG_22,40,40
OG_23,40,40
OG_24,40,40
OG_25,40,40
OG_26,40,40
OG_27,40,40
OG_28,40,40
OG_29,40,40
OG_30,40,40
OG_31,25,25
OG_32,21,21
OG_33,40,40
OG_34,25,25
OG_35,40,40
OG_36,40,40
OG_37,40,40
OG_38,40,40
OG_39,40,40
OG_40,40,40
OG_41,40,40
OG_42,25,25
OG_43,40,40
OG_44,40,40
OG_45,40,40
OG_46,21,21
OG_47,25,25
OG_48,40,40
OG_49,40,40
OG_50,40,40
OG_51,40,40
OG_52,40,40
OG_53,25,25
OG_54,40,40
OG_55,24,24
OG_56,20,20
OG_57,16,16
OG_58,21,21
OG_59,39,39
OG_60,40,40
OG_61,40,40
OG_62,25,25
OG_63,21,21
OG_64,40,40
OG_65,25,25
OG_66,23,23
OG_67,25,25
OG_68,40,40
OG_69,23,23
OG_70,23,23
OG_71,25,25
OG_72,23,23
OG_73,40,40
OG_74,23,23
OG_75,21,21
OG_76,40,40
OG_77,37,37
OG_78,19,19
OG_79,23,23
OG_80,40,40
OG_81,40,40
OG_82,40,40
OG_83,40,40
OG_84,40,40
OG_85,23,23
OG_86,40,40
OG_87,2,2
OG_88,3,3
OG_89,40,40
OG_90,21,21
OG_91,40,40
OG_92,40,40
OG_93,25,25
OG_94,40,40
OG_95,25,25
OG_96,16,16
OG_97,39,39
OG_98,5,5
OG_99,21,21
OG_100,40,40
OG_101,38,38
OG_102,21,21
OG_103,40,40
OG_104,40,40
OG_105,22,22
OG_106,25,25
OG_107,40,40
OG_108,40,40
OG_109,23,23
OG_110,40,40
OG_111,22,22
OG_112,20,20
OG_113,39,39
OG_114,40,40
OG_115,40,40
OG_116,40,40
OG_117,23,23
OG_118,40,40
OG_119,24,24
OG_120,40,40
OG_121,17,17
OG_122,40,40
OG_123,40,40
OG_124,40,40
OG_125,40,40
OG_126,40,40
OG_127,24,24
OG_128,21,21
OG_129,21,21
OG_130,40,40
OG_131,21,21
OG_132,23,23
OG_133,40,40
OG_134,20,20
OG_135,40,40
OG_136,25,25
OG_137,40,40
OG_138,40,40
OG_139,23,23
OG_140,40,40
OG_141,40,40
OG_142,40,40
OG_143,25,25
OG_144,40,40
OG_145,40,40
OG_146,40,40
OG_147,39,39
OG_148,21,21
OG_149,19,19
OG_150,21,21
OG_151,40,40
OG_152,40,40
OG_153,40,40
OG_154,23,23
OG_155,40,40
OG_156,23,23
OG_157,21,21
OG_158,40,40
OG_159,24,24
OG_160,40,40
OG_161,40,40
OG_162,25,25
OG_163,21,21
OG_164,40,40
OG_165,40,40
OG_166,35,35
OG_167,40,40
OG_168,25,25
OG_169,39,39
OG_170,39,39
OG_171,40,40
OG_172,40,40
OG_173,40,40
OG_174,34,34
OG_175,17,17
OG_176,21,21
OG_177,24,24
OG_178,25,25
OG_179,38,38
OG_180,17,17
OG_181,40,40
OG_182,39,39
OG_183,40,40
OG_184,40,40
OG_185,40,40
OG_186,24,24
OG_187,25,25
OG_188,25,25
OG_189,39,39
OG_190,21,21
OG_191,40,40
OG_192,23,23
OG_193,23,23
OG_194,40,40
OG_195,5,5
OG_196,39,39
OG_197,25,25
OG_198,23,23
OG_199,40,40
OG_200,21,21
OG_201,17,17
OG_202,17,17
OG_203,18,18
OG_204,21,21
OG_205,21,21
OG_206,21,21
OG_207,24,24
OG_208,2,2
OG_209,2,2
OG_210,2,2
OG_211,3,3
OG_212,3,3
OG_213,3,3
OG_214,4,4
OG_215,20,20
OG_216,20,20
OG_217,18,32
OG_218,40,40
OG_219,14,17
OG_220,15,27
OG_221,21,21
OG_222,12,12
OG_223,24,24
OG_224,25,25
OG_225,39,39
OG_226,40,40
OG_227,21,21
OG_228,39,39
OG_229,40,40
OG_230,20,20
OG_231,40,40
OG_232,4,4
OG_233,38,38
OG_234,40,40
OG_235,17,17
OG_236,19,19
OG_237,5,5
OG_238,20,20
OG_239,16,16
OG_240,40,40
OG_241,39,39
OG_242,40,40
OG_243,40,40
OG_244,22,22
OG_245,40,40
OG_246,21,21
OG_247,40,40
OG_248,25,25
OG_249,24,24
OG_250,39,39
OG_251,40,40
OG_252,19,19
OG_253,38,38
OG_254,40,40
OG_255,25,25
OG_256,23,23
OG_257,40,40
OG_258,39,39
OG_259,40,40
OG_260,17,17
OG_261,39,39
OG_262,40,40
OG_263,25,25
OG_264,40,40
OG_265,40,40
OG_266,40,40
OG_267,19,19
OG_268,20,20
OG_269,25,25
OG_270,40,40
OG_271,25,25
OG_272,40,40
OG_273,40,40
OG_274,40,40
OG_275,21,21
OG_276,21,21
OG_277,17,17
OG_278,20,20
OG_279,25,25
OG_280,40,40
OG_281,40,40
OG_282,23,23
OG_283,40,40
OG_284,40,40
OG_285,40,40
OG_286,40,40
OG_287,40,40
OG_288,40,40
OG_289,40,40
OG_290,21,21
OG_291,20,20
OG_292,19,19
OG_293,21,21
OG_294,40,40
OG_295,40,40
OG_296,40,40
OG_297,25,25
OG_298,23,23
OG_299,24,24
OG_300,40,40
OG_301,20,20
OG_302,21,21
OG_303,40,40
OG_304,40,40
OG_305,25,25
OG_306,24,24
OG_307,40,40
OG_308,3,3
OG_309,40,40
OG_310,40,40
OG_311,40,40
OG_312,40,40
OG_313,39,39
OG_314,40,40
OG_315,40,40
OG_316,15,15
OG_317,25,25
OG_318,40,40
OG_319,40,40
OG_320,40,40
OG_321,25,25
OG_322,40,40
OG_323,39,39
OG_324,21,21
OG_325,25,25
OG_326,40,40
OG_327,40,40
OG_328,23,23
OG_329,24,24
OG_330,24,24
OG_331,40,40
OG_332,21,21
OG_333,3,3
OG_334,3,3
OG_335,3,3
OG_336,40,40
OG_337,25,25
OG_338,23,23
OG_339,40,40
OG_340,40,40
OG_341,23,23
OG_342,40,40
OG_343,20,20
OG_344,5,5
OG_345,3,3
OG_346,20,20
OG_347,3,3
OG_348,40,40
OG_349,40,40
OG_350,39,39
OG_351,25,25
OG_352,40,40
OG_353,24,24
OG_354,40,40
OG_355,40,40
OG_356,40,40
OG_357,39,39
OG_358,40,40
OG_359,40,40
OG_360,40,40
OG_361,22,22
OG_362,25,25
OG_363,23,23
OG_364,38,38
OG_365,20,20
OG_366,21,21
OG_367,20,20
OG_368,40,40
OG_369,40,40
OG_370,40,40
OG_371,40,40
OG_372,39,39
OG_373,40,40
OG_374,39,39
OG_375,21,21
OG_376,17,17
OG_377,17,17
OG_378,5,5
OG_379,40,40
OG_380,23,23
OG_381,40,40
OG_382,17,17
OG_383,40,40
OG_384,40,40
OG_385,40,40
OG_386,40,40
OG_387,16,16
OG_388,40,40
OG_389,40,40
OG_390,40,40
OG_391,40,40
OG_392,40,40
OG_393,40,40
OG_394,40,40
OG_395,40,40
OG_396,39,39
OG_397,40,40
OG_398,25,25
OG_399,38,38
OG_400,40,40
OG_401,25,25
OG_402,38,38
OG_403,21,21
OG_404,23,23
OG_405,21,21
OG_406,39,39
OG_407,23,23
OG_408,23,23
OG_409,40,40
OG_410,39,39
OG_411,40,40
OG_412,40,40
OG_413,25,25
OG_414,40,40
OG_415,40,40
OG_416,40,40
OG_417,38,38
OG_418,24,24
OG_419,40,40
OG_420,40,40
OG_421,40,40
OG_422,40,40
OG_423,40,40
OG_424,40,40
OG_425,40,40
OG_426,23,23
OG_427,25,25
OG_428,40,40
OG_429,40,40
OG_430,40,40
OG_431,17,17
OG_432,39,39
OG_433,40,40
OG_434,40,40
OG_435,40,40
OG_436,20,20
OG_437,40,40
OG_438,40,40
OG_439,40,40
OG_440,40,40
OG_441,40,40
OG_442,40,40
OG_443,40,40
OG_444,40,40
OG_445,40,40
OG_446,40,40
OG_447,24,24
OG_448,21,21
OG_449,21,21
OG_450,25,25
OG_451,40,40
OG_452,40,40
OG_453,40,40
OG_454,21,21
OG_455,24,24
OG_456,40,40
OG_457,19,19
OG_458,40,40
OG_459,40,40
OG_460,17,17
OG_461,23,23
OG_462,40,40
OG_463,23,23
OG_464,23,23
OG_465,16,16
OG_466,25,25
OG_467,39,39
OG_468,40,40
OG_469,40,40
OG_470,23,23
OG_471,40,40
OG_472,23,23
OG_473,23,23
OG_474,23,23
OG_475,17,17
OG_476,20,20
OG_477,2,2
OG_478,21,21
OG_479,40,40
OG_480,40,40
OG_481,23,23
OG_482,40,40
OG_483,24,24
OG_484,40,40
OG_485,21,21
OG_486,21,21
OG_487,20,20
OG_488,21,21
OG_489,40,40
OG_490,40,40
OG_491,40,40
OG_492,21,21
OG_493,3,3
OG_494,40,40
OG_495,24,24
OG_496,40,40
OG_497,21,21
OG_498,23,23
OG_499,17,17
OG_500,17,17
OG_501,16,16
OG_502,25,25
OG_503,40,40
