Chlamydia_abortus_strain_162STDY5437294	Chlamydia_muridarum_str._Nigg_isolate_CM021
Chlamydia_abortus_strain_1B_cevac	Chlamydia_psittaci_strain_NRM_isolate_NRM_5
Chlamydia_abortus_strain_NL2335-4C	Chlamydia_abortus_strain_NL2354-2D
Chlamydia_abortus_strain_NL2354-2D	Chlamydia_psittaci_6BC
Chlamydia_avium_10DC88	Chlamydia_trachomatis_RC-L255
Chlamydia_caviae_GPIC	Chlamydia_psittaci_MN
Chlamydia_crocodili_strain_No._12	Chlamydophila_parapsittaci_strain_Rostinovo-70
Chlamydia_gallinacea_08-12743	Chlamydia_trachomatis_A2497
Chlamydia_muridarum_str._Nigg_isolate_CM001	Chlamydia_psittaci_strain_GIMC_2004CpsAP23
Chlamydia_muridarum_str._Nigg_isolate_CM009	Chlamydia_psittaci_strain_GIMC_2003Cps25SM
Chlamydia_pecorum_E58	Chlamydia_psittaci_strain_NRM_isolate_NRM_5
Chlamydia_psittaci_01DC11	Chlamydia_trachomatis_L2bUCH-2
Chlamydia_psittaci_WSRTE30	Chlamydia_psittaci_strain_NRM_isolate_NRM_5
Chlamydia_psittaci_strain_GIMC_2003Cps25SM	Chlamydia_suis_isolate_4-29b
Chlamydia_serpentis_strain_H15-1957-10C	Chlamydia_suis_isolate_4-29b
Chlamydia_trachomatis_L2b820007	Chlamydophila_parapsittaci_strain_Rostinovo-70
