Chlamydia_abortus_strain_1B_cevac	Chlamydia_abortus_strain_NL2354-2D
Chlamydia_abortus_strain_GIMC_2006CabB577	Chlamydia_poikilotherma_strain_S15-834K
Chlamydia_abortus_strain_NL2335-4C	Chlamydia_trachomatis_EBour
Chlamydia_avium_10DC88	Chlamydia_muridarum_str._Nigg_isolate_CM001
Chlamydia_buteonis_strain_IDL17-4553	Chlamydia_suis_isolate_4-29b
Chlamydia_crocodili_strain_No._12	Chlamydia_pecorum_E58
Chlamydia_felis_FeC-56	Chlamydia_trachomatis_strain_E-32931
Chlamydia_muridarum_str._Nigg	Chlamydia_suis_isolate_4-29b
Chlamydia_muridarum_str._Nigg_isolate_CM008	Chlamydia_psittaci_strain_GIMC_2005CpsCP1
Chlamydia_muridarum_str._Nigg_isolate_CM021	Chlamydia_psittaci_strain_NRM_isolate_NRM_5
Chlamydia_poikilotherma_strain_S15-834K	Chlamydia_trachomatis_L1115
Chlamydia_psittaci_MN	Chlamydia_psittaci_strain_AMK
Chlamydia_psittaci_strain_AMK	Chlamydia_trachomatis_strain_QH111L
Chlamydia_psittaci_strain_GIMC_2005CpsCP1	Chlamydia_suis_isolate_4-29b
Chlamydia_trachomatis_A2497	Chlamydia_trachomatis_strain_QH111L
