Chlamydia_abortus_strain_1B_cevac	Chlamydia_caviae_GPIC
Chlamydia_abortus_strain_GIMC_2006CabB577	Chlamydia_psittaci_MN
Chlamydia_abortus_strain_NL2335-4C	Chlamydia_trachomatis_L2bUCH-2
Chlamydia_avium_10DC88	Chlamydia_muridarum_str._Nigg_isolate_CM021
Chlamydia_buteonis_strain_IDL17-4553	Chlamydia_trachomatis_L1115
Chlamydia_crocodili_strain_No._12	Chlamydia_psittaci_6BC
Chlamydia_felis_FeC-56	Chlamydophila_parapsittaci_strain_Rostinovo-70
Chlamydia_muridarum_str._Nigg	Chlamydia_trachomatis_L1115
Chlamydia_muridarum_str._Nigg_isolate_CM008	Chlamydia_suis_isolate_4-29b
Chlamydia_muridarum_str._Nigg_isolate_CM021	Chlamydia_trachomatis_A2497
Chlamydia_poikilotherma_strain_S15-834K	Chlamydia_trachomatis_RC-L255
Chlamydia_psittaci_MN	Chlamydia_psittaci_strain_GIMC_2004CpsAP23
Chlamydia_psittaci_strain_Ful127	Chlamydia_psittaci_strain_GIMC_2003Cps25SM
Chlamydia_psittaci_strain_GIMC_2005CpsCP1	Chlamydia_trachomatis_L1115
Chlamydia_trachomatis_EBour	Chlamydia_trachomatis_L1115
