Chlamydia_abortus_strain_1B_cevac	Chlamydia_muridarum_str._Nigg
Chlamydia_abortus_strain_GIMC_2006CabB577	Chlamydia_psittaci_strain_GIMC_2003Cps25SM
Chlamydia_abortus_strain_NL2335-4C	Chlamydia_trachomatis_strain_tet9
Chlamydia_avium_10DC88	Chlamydia_psittaci_6BC
Chlamydia_buteonis_strain_IDL17-4553	Chlamydia_trachomatis_strain_E-32931
Chlamydia_crocodili_strain_No._12	Chlamydia_psittaci_strain_Ful127
Chlamydia_gallinacea_08-12743	Chlamydia_muridarum_str._Nigg_isolate_CM009
Chlamydia_muridarum_str._Nigg	Chlamydia_trachomatis_strain_E-32931
Chlamydia_muridarum_str._Nigg_isolate_CM008	Chlamydia_trachomatis_L2b820007
Chlamydia_muridarum_str._Nigg_isolate_CM021	Chlamydia_trachomatis_L2bUCH-2
Chlamydia_poikilotherma_strain_S15-834K	Chlamydophila_parapsittaci_strain_Rostinovo-70
Chlamydia_psittaci_MN	Chlamydia_suis_isolate_4-29b
Chlamydia_psittaci_strain_Ful127	Chlamydia_serpentis_strain_H15-1957-10C
Chlamydia_psittaci_strain_GIMC_2005CpsCP1	Chlamydia_trachomatis_strain_E-32931
Chlamydia_trachomatis_EBour	Chlamydia_trachomatis_strain_E-32931
