Chlamydia_abortus_strain_162STDY5437294	Chlamydia_crocodili_strain_No._12
Chlamydia_abortus_strain_1B_cevac	Chlamydia_psittaci_MN
Chlamydia_abortus_strain_GIMC_2006CabB577	Chlamydia_trachomatis_L2b820007
Chlamydia_abortus_strain_NL2354-2D	Chlamydia_muridarum_str._Nigg_isolate_CM001
Chlamydia_avium_10DC88	Chlamydia_serpentis_strain_H15-1957-10C
Chlamydia_caviae_GPIC	Chlamydia_muridarum_str._Nigg_isolate_CM008
Chlamydia_crocodili_strain_No._12	Chlamydia_trachomatis_L1115
Chlamydia_gallinacea_08-12743	Chlamydia_psittaci_strain_Ful127
Chlamydia_muridarum_str._Nigg_isolate_CM001	Chlamydia_psittaci_01DC11
Chlamydia_muridarum_str._Nigg_isolate_CM009	Chlamydia_poikilotherma_strain_S15-834K
Chlamydia_pecorum_E58	Chlamydia_psittaci_MN
Chlamydia_psittaci_01DC11	Chlamydia_psittaci_strain_NRM_isolate_NRM_5
Chlamydia_psittaci_MN	Chlamydia_trachomatis_strain_tet9
Chlamydia_psittaci_strain_Ful127	Chlamydia_trachomatis_strain_QH111L
Chlamydia_psittaci_strain_NRM_isolate_NRM_5	Chlamydia_trachomatis_L2b820007
Chlamydia_trachomatis_L1115	Chlamydia_trachomatis_strain_tet9
