Chlamydia_abortus_strain_162STDY5437294	Chlamydia_gallinacea_08-12743
Chlamydia_abortus_strain_1B_cevac	Chlamydia_psittaci_strain_AMK
Chlamydia_abortus_strain_GIMC_2006CabB577	Chlamydia_trachomatis_RC-L255
Chlamydia_abortus_strain_NL2354-2D	Chlamydia_muridarum_str._Nigg_isolate_CM009
Chlamydia_avium_10DC88	Chlamydia_trachomatis_A2497
Chlamydia_caviae_GPIC	Chlamydia_muridarum_str._Nigg_isolate_CM021
Chlamydia_crocodili_strain_No._12	Chlamydia_trachomatis_L2bUCH-2
Chlamydia_gallinacea_08-12743	Chlamydia_psittaci_strain_GIMC_2004CpsAP23
Chlamydia_muridarum_str._Nigg_isolate_CM001	Chlamydia_psittaci_MN
Chlamydia_muridarum_str._Nigg_isolate_CM009	Chlamydia_psittaci_6BC
Chlamydia_pecorum_E58	Chlamydia_psittaci_strain_AMK
Chlamydia_psittaci_01DC11	Chlamydia_suis_isolate_4-29b
Chlamydia_psittaci_WSRTE30	Chlamydia_psittaci_strain_AMK
Chlamydia_psittaci_strain_Ful127	Chlamydophila_parapsittaci_strain_Rostinovo-70
Chlamydia_psittaci_strain_NRM_isolate_NRM_5	Chlamydia_trachomatis_RC-L255
Chlamydia_trachomatis_L2b820007	Chlamydia_trachomatis_L2bUCH-2
