CAD6022907.1	Chlamydia_trachomatis_strain_QH111L:NZ_CP018052.1_329	65.990	394	134	0	1	394	1	1182	8.01e-176	491
CAD6022907.1	Chlamydia_trachomatis_strain_QH111L:NZ_CP018052.1_64	30.469	128	83	3	14	137	31	408	6.47e-08	49.3
CAD6022907.1	Chlamydia_trachomatis_strain_QH111L:NZ_CP018052.1_453	29.771	131	79	3	14	137	37	411	1.85e-06	45.1
CAD6021960.1	Chlamydia_trachomatis_strain_QH111L:NZ_CP018052.1_700	34.351	262	153	5	1	246	1	777	1.12e-37	130
CAD6021960.1	Chlamydia_trachomatis_strain_QH111L:NZ_CP018052.1_629	29.167	48	29	1	220	267	487	359	0.24	27.7
CAD6001269.1	Chlamydia_trachomatis_strain_QH111L:NZ_CP018052.1_453	57.554	695	277	7	11	700	34	2079	0.0	788
CAD6001269.1	Chlamydia_trachomatis_strain_QH111L:NZ_CP018052.1_64	36.478	159	95	2	7	165	16	474	5.89e-20	89.4
CAD6001269.1	Chlamydia_trachomatis_strain_QH111L:NZ_CP018052.1_64	26.829	246	143	9	264	496	487	1152	1.20e-13	68.9
CAD6001269.1	Chlamydia_trachomatis_strain_QH111L:NZ_CP018052.1_64	27.632	76	53	2	614	687	1219	1446	0.020	33.1
CAD6001269.1	Chlamydia_trachomatis_strain_QH111L:NZ_CP018052.1_329	31.852	135	82	6	12	145	40	417	6.59e-10	56.6
CAD6022903.1	Chlamydia_trachomatis_strain_QH111L:NZ_CP018052.1_325	49.784	231	116	0	1	231	1	693	1.48e-59	183
CAD6001447.1	Chlamydia_trachomatis_strain_QH111L:NZ_CP018052.1_544	60.000	225	90	0	49	273	178	852	1.46e-94	276
CAD6001447.1	Chlamydia_trachomatis_strain_QH111L:NZ_CP018052.1_642	30.667	75	38	2	59	122	535	750	1.0	25.8
CAD6001447.1	Chlamydia_trachomatis_strain_QH111L:NZ_CP018052.1_769	27.027	37	27	0	84	120	914	804	6.4	23.1
CAD6001426.1	Chlamydia_trachomatis_strain_QH111L:NZ_CP018052.1_547	40.284	211	117	3	2	204	13	642	4.63e-48	152
CAD6001426.1	Chlamydia_trachomatis_strain_QH111L:NZ_CP018052.1_169	33.333	42	28	0	56	97	1180	1305	1.9	24.3
CAD6001426.1	Chlamydia_trachomatis_strain_QH111L:NZ_CP018052.1_384	36.667	30	19	0	166	195	1262	1173	7.6	22.3
CAD6001433.1	Chlamydia_trachomatis_strain_QH111L:NZ_CP018052.1_546	38.961	154	83	4	25	167	85	546	8.91e-26	95.1
CAD6001433.1	Chlamydia_trachomatis_strain_QH111L:NZ_CP018052.1_564	43.333	30	17	0	102	131	981	1070	2.9	23.9
CAD6001433.1	Chlamydia_trachomatis_strain_QH111L:NZ_CP018052.1_98	32.432	37	25	0	43	79	454	564	5.6	22.7
CAD6001507.1	Chlamydia_trachomatis_strain_QH111L:NZ_CP018052.1_535	50.279	179	88	1	1	179	1	534	6.49e-55	167
CAD6001507.1	Chlamydia_trachomatis_strain_QH111L:NZ_CP018052.1_411	34.483	29	19	0	105	133	640	726	2.4	23.9
CAD6001507.1	Chlamydia_trachomatis_strain_QH111L:NZ_CP018052.1_775	31.707	41	25	1	97	137	489	602	5.2	22.7
CAD6001527.1	Chlamydia_trachomatis_strain_QH111L:NZ_CP018052.1_533	44.633	177	95	2	1	175	1	528	1.19e-38	126
CAD6001527.1	Chlamydia_trachomatis_strain_QH111L:NZ_CP018052.1_296	29.231	65	43	2	90	152	37	228	0.13	27.3
