OG_name,OG size (number of genomes),OG size (total number of genes)
OG_0,40,40
OG_1,40,40
OG_2,39,39
OG_3,40,40
OG_4,25,25
OG_5,23,23
OG_6,23,23
OG_7,23,23
OG_8,40,40
OG_9,40,40
OG_10,40,40
OG_11,40,40
OG_12,40,40
OG_13,40,40
OG_14,21,21
OG_15,23,23
OG_16,23,23
OG_17,16,16
OG_18,40,40
OG_19,24,24
OG_20,40,40
OG_21,40,40
OG_22,40,40
OG_23,21,21
OG_24,34,34
OG_25,40,40
OG_26,39,39
OG_27,24,24
OG_28,40,40
OG_29,40,40
OG_30,40,40
OG_31,40,40
OG_32,40,40
OG_33,40,40
OG_34,40,40
OG_35,40,40
OG_36,24,24
OG_37,25,25
OG_38,23,23
OG_39,40,40
OG_40,25,25
OG_41,25,25
OG_42,40,40
OG_43,40,40
OG_44,40,40
OG_45,39,39
OG_46,38,38
OG_47,40,40
OG_48,40,40
OG_49,40,40
OG_50,40,40
OG_51,23,23
OG_52,40,40
OG_53,24,24
OG_54,20,20
OG_55,24,24
OG_56,40,40
OG_57,40,40
OG_58,40,40
OG_59,40,40
OG_60,40,40
OG_61,40,40
OG_62,20,20
OG_63,20,20
OG_64,23,23
OG_65,3,3
OG_66,3,3
OG_67,21,21
OG_68,25,25
OG_69,3,3
OG_70,40,40
OG_71,40,40
OG_72,25,25
OG_73,25,25
OG_74,40,40
OG_75,40,40
OG_76,19,19
OG_77,40,40
OG_78,40,40
OG_79,40,40
OG_80,40,40
OG_81,40,40
OG_82,19,19
OG_83,3,3
OG_84,2,2
OG_85,40,40
OG_86,40,40
OG_87,40,40
OG_88,40,40
OG_89,24,24
OG_90,40,40
OG_91,40,40
OG_92,39,39
OG_93,38,38
OG_94,21,21
OG_95,40,40
OG_96,40,40
OG_97,40,40
OG_98,40,40
OG_99,40,40
OG_100,40,40
OG_101,40,40
OG_102,40,40
OG_103,40,40
OG_104,40,40
OG_105,40,40
OG_106,40,40
OG_107,40,40
OG_108,40,40
OG_109,40,40
OG_110,40,40
OG_111,40,40
OG_112,40,40
OG_113,40,40
OG_114,40,40
OG_115,40,40
OG_116,40,40
OG_117,40,40
OG_118,40,40
OG_119,25,25
OG_120,21,21
OG_121,40,40
OG_122,25,25
OG_123,40,40
OG_124,40,40
OG_125,40,40
OG_126,40,40
OG_127,40,40
OG_128,40,40
OG_129,25,25
OG_130,40,40
OG_131,40,40
OG_132,40,40
OG_133,21,21
OG_134,25,25
OG_135,40,40
OG_136,40,40
OG_137,40,40
OG_138,40,40
OG_139,25,25
OG_140,40,40
OG_141,24,24
OG_142,20,20
OG_143,16,16
OG_144,21,21
OG_145,39,39
OG_146,40,40
OG_147,40,40
OG_148,25,25
OG_149,40,40
OG_150,25,25
OG_151,23,23
OG_152,25,25
OG_153,40,40
OG_154,23,23
OG_155,23,23
OG_156,25,25
OG_157,23,23
OG_158,40,40
OG_159,21,21
OG_160,40,40
OG_161,37,37
OG_162,19,19
OG_163,23,23
OG_164,40,40
OG_165,40,40
OG_166,40,40
OG_167,40,40
OG_168,40,40
OG_169,40,40
OG_170,2,2
OG_171,3,3
OG_172,40,40
OG_173,21,21
OG_174,40,40
OG_175,40,40
OG_176,25,25
OG_177,40,40
OG_178,25,25
OG_179,39,39
OG_180,5,5
OG_181,21,21
OG_182,40,40
OG_183,38,38
OG_184,21,21
OG_185,40,40
OG_186,40,40
OG_187,22,22
OG_188,25,25
OG_189,40,40
OG_190,23,23
OG_191,40,40
OG_192,22,22
OG_193,20,20
OG_194,39,39
OG_195,40,40
OG_196,40,40
OG_197,40,40
OG_198,23,23
OG_199,40,40
OG_200,17,17
OG_201,40,40
OG_202,40,40
OG_203,40,40
OG_204,40,40
OG_205,40,40
OG_206,24,24
OG_207,21,21
OG_208,21,21
OG_209,21,21
OG_210,23,23
OG_211,40,40
OG_212,20,20
OG_213,40,40
OG_214,25,25
OG_215,40,40
OG_216,40,40
OG_217,23,23
OG_218,40,40
OG_219,40,40
OG_220,25,25
OG_221,40,40
OG_222,40,40
OG_223,40,40
OG_224,39,39
OG_225,21,21
OG_226,19,19
OG_227,21,21
OG_228,40,40
OG_229,40,40
OG_230,23,23
OG_231,40,40
OG_232,23,23
OG_233,21,21
OG_234,40,40
OG_235,24,24
OG_236,40,40
OG_237,40,40
OG_238,25,25
OG_239,40,40
OG_240,40,40
OG_241,35,35
OG_242,40,40
OG_243,25,25
OG_244,39,39
OG_245,39,39
OG_246,40,40
OG_247,40,40
OG_248,40,40
OG_249,17,17
OG_250,21,21
OG_251,24,24
OG_252,25,25
OG_253,38,38
OG_254,17,17
OG_255,40,40
OG_256,39,39
OG_257,40,40
OG_258,40,40
OG_259,24,24
OG_260,25,25
OG_261,25,25
OG_262,39,39
OG_263,21,21
OG_264,40,40
OG_265,23,23
OG_266,23,23
OG_267,40,40
OG_268,5,5
OG_269,25,25
OG_270,23,23
OG_271,40,40
OG_272,21,21
OG_273,17,17
OG_274,17,17
OG_275,18,18
OG_276,21,21
OG_277,21,21
OG_278,21,21
OG_279,2,2
OG_280,2,2
OG_281,2,2
OG_282,3,3
OG_283,3,3
OG_284,3,3
OG_285,4,4
OG_286,20,20
OG_287,20,20
OG_288,18,32
OG_289,14,17
OG_290,15,27
OG_291,21,21
OG_292,12,12
OG_293,24,24
OG_294,25,25
OG_295,39,39
OG_296,40,40
OG_297,21,21
OG_298,20,20
OG_299,40,40
OG_300,4,4
OG_301,38,38
OG_302,40,40
OG_303,17,17
OG_304,19,19
OG_305,5,5
OG_306,20,20
OG_307,16,16
OG_308,39,39
OG_309,40,40
OG_310,40,40
OG_311,22,22
OG_312,40,40
OG_313,21,21
OG_314,40,40
OG_315,25,25
OG_316,24,24
OG_317,39,39
OG_318,19,19
OG_319,38,38
OG_320,40,40
OG_321,25,25
OG_322,23,23
OG_323,40,40
OG_324,39,39
OG_325,40,40
OG_326,17,17
OG_327,39,39
OG_328,25,25
OG_329,40,40
OG_330,40,40
OG_331,40,40
OG_332,19,19
OG_333,20,20
OG_334,25,25
OG_335,40,40
OG_336,25,25
OG_337,40,40
OG_338,40,40
OG_339,21,21
OG_340,21,21
OG_341,17,17
OG_342,20,20
OG_343,25,25
OG_344,40,40
OG_345,40,40
OG_346,23,23
OG_347,40,40
OG_348,40,40
OG_349,40,40
OG_350,40,40
OG_351,40,40
OG_352,40,40
OG_353,21,21
OG_354,20,20
OG_355,19,19
OG_356,21,21
OG_357,40,40
OG_358,40,40
OG_359,25,25
OG_360,23,23
OG_361,24,24
OG_362,40,40
OG_363,20,20
OG_364,21,21
OG_365,40,40
OG_366,40,40
OG_367,25,25
OG_368,40,40
OG_369,3,3
OG_370,40,40
OG_371,40,40
OG_372,40,40
OG_373,40,40
OG_374,39,39
OG_375,40,40
OG_376,40,40
OG_377,15,15
OG_378,40,40
OG_379,40,40
OG_380,40,40
OG_381,25,25
OG_382,40,40
OG_383,39,39
OG_384,21,21
OG_385,25,25
OG_386,40,40
OG_387,40,40
OG_388,24,24
OG_389,24,24
OG_390,40,40
OG_391,21,21
OG_392,3,3
OG_393,3,3
OG_394,3,3
OG_395,40,40
OG_396,25,25
OG_397,23,23
OG_398,23,23
OG_399,40,40
OG_400,20,20
OG_401,5,5
OG_402,3,3
OG_403,20,20
OG_404,3,3
OG_405,40,40
OG_406,40,40
OG_407,39,39
OG_408,40,40
OG_409,24,24
OG_410,40,40
OG_411,40,40
OG_412,40,40
OG_413,39,39
OG_414,40,40
OG_415,40,40
OG_416,40,40
OG_417,22,22
OG_418,23,23
OG_419,38,38
OG_420,20,20
OG_421,21,21
OG_422,20,20
OG_423,40,40
OG_424,40,40
OG_425,40,40
OG_426,40,40
OG_427,39,39
OG_428,39,39
OG_429,21,21
OG_430,17,17
OG_431,17,17
OG_432,5,5
OG_433,40,40
OG_434,23,23
OG_435,40,40
OG_436,17,17
OG_437,40,40
OG_438,40,40
OG_439,40,40
OG_440,16,16
OG_441,40,40
OG_442,40,40
OG_443,40,40
OG_444,40,40
OG_445,40,40
OG_446,40,40
OG_447,40,40
OG_448,39,39
OG_449,40,40
OG_450,25,25
OG_451,38,38
OG_452,40,40
OG_453,25,25
OG_454,38,38
OG_455,21,21
OG_456,23,23
OG_457,21,21
OG_458,23,23
OG_459,23,23
OG_460,40,40
OG_461,39,39
OG_462,40,40
OG_463,40,40
OG_464,25,25
OG_465,40,40
OG_466,40,40
OG_467,40,40
OG_468,24,24
OG_469,40,40
OG_470,40,40
OG_471,40,40
OG_472,40,40
OG_473,40,40
OG_474,40,40
OG_475,40,40
OG_476,23,23
OG_477,25,25
OG_478,40,40
OG_479,40,40
OG_480,17,17
OG_481,39,39
OG_482,40,40
OG_483,40,40
OG_484,40,40
OG_485,20,20
OG_486,40,40
OG_487,40,40
OG_488,40,40
OG_489,40,40
OG_490,40,40
OG_491,40,40
OG_492,40,40
OG_493,40,40
OG_494,40,40
OG_495,24,24
OG_496,21,21
OG_497,21,21
OG_498,40,40
OG_499,40,40
OG_500,21,21
OG_501,24,24
OG_502,40,40
OG_503,19,19
