OG_name,Ecoli_APEC_O1,Ecoli_JJ1886,Ecoli_UMN026,Sboydii_Sb227,Sflexneri_5_8401
OG_0,Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_2,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_1,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_1
OG_1,Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_2,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_3,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_2,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_2,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_2
OG_2,Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_3,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_4,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_3,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_3,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_3
OG_3,Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_4,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_5,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_4,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_4,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_4
OG_4,Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_5,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_6,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_5,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_5,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_5
OG_5,Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_6,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_7,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_6,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_8,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_7
OG_6,Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_7,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_8,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_7,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_9,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_8
OG_7,Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_8,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_9,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_8,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_10,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_9
OG_8,Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_9,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_10,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_9,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_11,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_10
OG_9,Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_10,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_11,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_10,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_12,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_11
OG_10,Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_11,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_12,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_11,,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_12
OG_11,Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_12,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_13,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_12,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_14,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_13
OG_12,Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_13,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_14,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_13,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_15,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_14
OG_13,Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_14,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_15,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_14,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_16,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_15
OG_14,Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_15,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_16,,,
OG_15,Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_16,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_17,,,
OG_16,Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_17,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_18,,,
OG_17,Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_18,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_19,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_15,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_17,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_16
OG_18,Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_19,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_20,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_16,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_18,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_17
OG_19,Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_20,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_23,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_22,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_21,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_19
OG_20,Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_21,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_24,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_23,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_22,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_20
OG_21,Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_22,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_25,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_24,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_23,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_21
