Chlamydia_abortus_strain_1B_cevac	Chlamydia_abortus_strain_NL2335-4C
Chlamydia_abortus_strain_GIMC_2006CabB577	Chlamydia_pecorum_E58
Chlamydia_abortus_strain_NL2335-4C	Chlamydia_trachomatis_A2497
Chlamydia_avium_10DC88	Chlamydia_muridarum_str._Nigg
Chlamydia_buteonis_strain_IDL17-4553	Chlamydia_serpentis_strain_H15-1957-10C
Chlamydia_crocodili_strain_No._12	Chlamydia_muridarum_str._Nigg_isolate_CM021
Chlamydia_felis_FeC-56	Chlamydia_trachomatis_RC-L255
Chlamydia_muridarum_str._Nigg	Chlamydia_serpentis_strain_H15-1957-10C
Chlamydia_muridarum_str._Nigg_isolate_CM008	Chlamydia_psittaci_strain_GIMC_2004CpsAP23
Chlamydia_muridarum_str._Nigg_isolate_CM021	Chlamydia_psittaci_strain_GIMC_2005CpsCP1
Chlamydia_poikilotherma_strain_S15-834K	Chlamydia_trachomatis_EBour
Chlamydia_psittaci_MN	Chlamydia_psittaci_WSRTE30
Chlamydia_psittaci_strain_AMK	Chlamydia_trachomatis_strain_E-32931
Chlamydia_psittaci_strain_GIMC_2005CpsCP1	Chlamydia_serpentis_strain_H15-1957-10C
Chlamydia_trachomatis_A2497	Chlamydia_trachomatis_strain_E-32931
