OG_name,OG size (number of genomes),OG size (total number of genes),CAI_mean,knum,knum_description,Ecoli_APEC_O1,Ecoli_JJ1886,Ecoli_UMN026,Sboydii_Sb227,Sflexneri_5_8401
OG_0,5,5,0.375,K12524,"K12524 (bifunctional aspartokinase / homoserine dehydrogenase 1 [EC:2.7.2.4 1.1.1.3], https://www.genome.jp/entry/K12524)",Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_2,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_1,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_1
OG_1,5,5,0.315,,,Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_10,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_11,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_10,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_12,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_11
OG_2,5,5,0.368,K18778,"K18778 (cell division protein ZapD, https://www.genome.jp/entry/K18778)",Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_100,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_105,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_98,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_86,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_96
OG_3,4,4,0.259,K08161,"K08161 (MFS transporter, DHA1 family, multidrug resistance protein, https://www.genome.jp/entry/K08161)",Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1000,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_1096,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1183,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_2134,
OG_4,5,5,0.383,K02517,"K02517 (Kdo2-lipid IVA lauroyltransferase/acyltransferase [EC:2.3.1.241 2.3.1.-], https://www.genome.jp/entry/K02517)",Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1001,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_1097,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1184,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_2132,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_1158
OG_5,4,4,0.4,K07146,"K07146 (UPF0176 protein, https://www.genome.jp/entry/K07146)",Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1002,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_1098,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1185,,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_1159
OG_6,5,5,0.46,,,Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1003,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_1099,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1186,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_2127,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_1160
OG_7,5,5,0.346,K12262,"K12262 (superoxide oxidase [EC:1.10.3.17], https://www.genome.jp/entry/K12262)",Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1004,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_1100,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1187,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_2126,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_1161
OG_8,5,5,0.2,,,Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1005,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_1101,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1188,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_2125,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_1162
OG_9,5,5,0.38,K02846,"K02846 (N-methyl-L-tryptophan oxidase [EC:1.5.3.-], https://www.genome.jp/entry/K02846)",Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1006,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_1102,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1189,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_2124,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_1163
