query,Chlamydia_abortus_strain_162STDY5437294,Chlamydia_abortus_strain_1B_cevac,Chlamydia_abortus_strain_GIMC_2006CabB577,Chlamydia_abortus_strain_NL2335-4C,Chlamydia_abortus_strain_NL2354-2D,Chlamydia_avium_10DC88,Chlamydia_buteonis_strain_IDL17-4553,Chlamydia_caviae_GPIC,Chlamydia_crocodili_strain_No._12,Chlamydia_felis_FeC-56,Chlamydia_gallinacea_08-12743,Chlamydia_muridarum_str._Nigg,Chlamydia_muridarum_str._Nigg_isolate_CM001,Chlamydia_muridarum_str._Nigg_isolate_CM008,Chlamydia_muridarum_str._Nigg_isolate_CM009,Chlamydia_muridarum_str._Nigg_isolate_CM021,Chlamydia_pecorum_E58,Chlamydia_poikilotherma_strain_S15-834K,Chlamydia_psittaci_01DC11,Chlamydia_psittaci_6BC,Chlamydia_psittaci_MN,Chlamydia_psittaci_WSRTE30,Chlamydia_psittaci_strain_AMK,Chlamydia_psittaci_strain_Ful127,Chlamydia_psittaci_strain_GIMC_2003Cps25SM,Chlamydia_psittaci_strain_GIMC_2004CpsAP23,Chlamydia_psittaci_strain_GIMC_2005CpsCP1,Chlamydia_psittaci_strain_NRM_isolate_NRM_5,Chlamydia_serpentis_strain_H15-1957-10C,Chlamydia_suis_isolate_4-29b,Chlamydia_trachomatis_A2497,Chlamydia_trachomatis_EBour,Chlamydia_trachomatis_L1115,Chlamydia_trachomatis_L2b820007,Chlamydia_trachomatis_L2bUCH-2,Chlamydia_trachomatis_RC-L255,Chlamydia_trachomatis_strain_E-32931,Chlamydia_trachomatis_strain_QH111L,Chlamydia_trachomatis_strain_tet9,Chlamydophila_parapsittaci_strain_Rostinovo-70,max_value,max_column
Chlamydia_abortus_strain_162STDY5437294,100.0,99.9986,99.9233,99.4152,99.4152,78.2885,92.7589,82.8332,82.9421,82.3281,78.1468,,,,,,77.2978,83.2346,92.8712,92.8676,92.7583,93.2226,93.4485,92.9236,92.8293,92.8562,92.8595,92.7276,77.9447,,,,,,,,,,,93.4475,99.9986,Chlamydia_abortus_strain_1B_cevac
Chlamydia_abortus_strain_1B_cevac,99.9986,100.0,99.9219,99.4139,99.4139,78.2889,92.7578,82.8363,82.9421,82.3281,78.1468,,,,,,77.2971,83.2326,92.8707,92.8671,92.758,93.222,93.4479,92.9233,92.8288,92.8557,92.859,92.7274,77.9447,,,,,,,,,,,93.4469,99.9986,Chlamydia_abortus_strain_162STDY5437294
Chlamydia_abortus_strain_GIMC_2006CabB577,99.9235,99.922,100.0,99.413,99.413,78.2473,92.7422,82.86,83.002,82.4043,78.0032,,,,,,77.0329,83.2608,92.8817,92.899,92.7315,93.1806,93.4361,92.9103,92.8193,92.9086,92.9088,92.7202,78.0104,,,,,,,,,,,93.4389,99.9235,Chlamydia_abortus_strain_162STDY5437294
Chlamydia_abortus_strain_NL2335-4C,99.3735,99.3723,99.3724,100.0,99.9999,78.2943,92.6429,83.0584,83.1091,82.5993,78.1199,,,,,,77.4758,83.1854,92.8934,92.9014,92.7337,93.2846,93.4984,92.9073,92.9038,92.8961,92.9027,92.7942,78.0425,,,,,,,,,,,93.4995,99.9999,Chlamydia_abortus_strain_NL2354-2D
Chlamydia_abortus_strain_NL2354-2D,99.3737,99.3725,99.3722,99.9999,100.0,78.3007,92.6414,83.0555,83.0851,82.5947,78.1198,,,,,,77.4759,83.1777,92.8919,92.8998,92.7347,93.2835,93.4971,92.9062,92.9028,92.8952,92.9018,92.7949,78.0429,,,,,,,,,,,93.4986,99.9999,Chlamydia_abortus_strain_NL2335-4C
Chlamydia_avium_10DC88,78.3733,78.3733,78.332,78.5036,78.5036,100.0,78.3769,78.5348,78.2556,78.156,82.1753,,,,,,,78.4572,78.5565,78.6541,78.5392,78.4806,78.2995,78.6286,78.5441,78.4723,78.4723,78.51,,,,,,,,,,,,78.4104,82.1753,Chlamydia_gallinacea_08-12743
Chlamydia_buteonis_strain_IDL17-4553,92.7277,92.727,92.7453,92.7752,92.7752,78.3423,100.0,83.3672,83.7168,82.6977,78.464,,,,,,77.5001,83.6423,93.7451,93.7504,93.5952,93.713,93.579,93.6649,93.6705,93.7863,93.7852,93.6318,,,,,,,,,,,,93.6235,93.7863,Chlamydia_psittaci_strain_GIMC_2004CpsAP23
Chlamydia_caviae_GPIC,82.8032,82.8059,82.8176,82.846,82.8654,78.4134,83.3228,100.0,87.0502,83.7667,78.4069,,,,,,77.9359,87.0719,83.3622,83.3818,83.2629,83.2841,83.4825,83.406,83.2541,83.3263,83.3307,83.2956,78.0849,,,,,,,,,,,83.447,87.0719,Chlamydia_poikilotherma_strain_S15-834K
Chlamydia_crocodili_strain_No._12,83.1839,83.1839,83.1084,83.0289,83.0289,78.6231,83.7912,87.2224,100.0,83.5201,78.5978,,,,,,77.3689,92.3877,83.5254,83.6173,83.5015,83.6146,83.4639,83.5624,83.5875,83.6023,83.6023,83.5148,78.0919,,,,,,,,,,,83.4872,92.3877,Chlamydia_poikilotherma_strain_S15-834K
Chlamydia_felis_FeC-56,82.4028,82.4028,82.4774,82.4196,82.4374,77.9698,82.8078,83.4327,83.7303,100.0,78.1012,,,,,,,83.656,82.6834,82.7201,82.6802,82.6525,82.8335,82.6918,82.7849,82.6727,82.6727,82.6855,,,,,,,,,,,,82.8246,83.7303,Chlamydia_crocodili_strain_No._12
