Genome,GC Content (of ORFs)
Chlamydia_abortus_strain_162STDY5437294,0.4049780061549975
Chlamydia_abortus_strain_NL2354-2D,0.4055540290835408
Chlamydia_abortus_strain_1B_cevac,0.40497084906615743
Chlamydia_avium_10DC88,0.3747716468250197
Chlamydia_abortus_strain_GIMC_2006CabB577,0.4050387596899225
Chlamydia_buteonis_strain_IDL17-4553,0.3898536480385686
Chlamydia_gallinacea_08-12743,0.3846636841692175
Chlamydia_muridarum_str._Nigg_isolate_CM009,0.40732418222674177
Chlamydia_muridarum_str._Nigg,0.4073101023900631
Chlamydia_muridarum_str._Nigg_isolate_CM008,0.4073078790390164
Chlamydia_muridarum_str._Nigg_isolate_CM021,0.40731930428821284
Chlamydia_abortus_strain_NL2335-4C,0.4055358711981632
Chlamydia_caviae_GPIC,0.39868921206850955
Chlamydia_crocodili_strain_No._12,0.38103302591627686
Chlamydia_muridarum_str._Nigg_isolate_CM001,0.407278539462999
Chlamydia_pecorum_E58,0.41701290138845
Chlamydia_felis_FeC-56,0.3998217539637037
Chlamydia_psittaci_6BC,0.3969185764691294
Chlamydia_psittaci_strain_AMK,0.39750322501707647
Chlamydia_poikilotherma_strain_S15-834K,0.3813727681342969
Chlamydia_psittaci_strain_GIMC_2005CpsCP1,0.3968013130917162
Chlamydia_psittaci_strain_GIMC_2004CpsAP23,0.3968230246121599
Chlamydia_psittaci_strain_Ful127,0.3968677801229869
Chlamydia_suis_isolate_4-29b,0.42652195003638127
Chlamydia_psittaci_strain_GIMC_2003Cps25SM,0.3968894405535748
Chlamydia_psittaci_MN,0.3968773425366369
Chlamydia_psittaci_01DC11,0.3968312620230956
Chlamydia_psittaci_strain_NRM_isolate_NRM_5,0.39684926541384896
Chlamydia_trachomatis_L2bUCH-2,0.41675322954337546
Chlamydia_trachomatis_A2497,0.41658533473670784
Chlamydia_trachomatis_L1115,0.4167888010519058
Chlamydia_psittaci_WSRTE30,0.39687735227241705
Chlamydia_trachomatis_L2b820007,0.41675536689835596
Chlamydia_serpentis_strain_H15-1957-10C,0.38253445936344566
Chlamydia_trachomatis_strain_tet9,0.4185956911960689
Chlamydophila_parapsittaci_strain_Rostinovo-70,0.39756392644542454
Chlamydia_trachomatis_RC-L255,0.41681923554176115
Chlamydia_trachomatis_strain_QH111L,0.41664160952020685
Chlamydia_trachomatis_strain_E-32931,0.4165340249725733
Chlamydia_trachomatis_EBour,0.41666932501377024
