query,Chlamydia_abortus_strain_162STDY5437294,Chlamydia_abortus_strain_1B_cevac,Chlamydia_abortus_strain_GIMC_2006CabB577,Chlamydia_abortus_strain_NL2335-4C,Chlamydia_abortus_strain_NL2354-2D,Chlamydia_avium_10DC88,Chlamydia_buteonis_strain_IDL17-4553,Chlamydia_caviae_GPIC,Chlamydia_crocodili_strain_No._12,Chlamydia_felis_FeC-56,Chlamydia_gallinacea_08-12743,Chlamydia_muridarum_str._Nigg,Chlamydia_muridarum_str._Nigg_isolate_CM001,Chlamydia_muridarum_str._Nigg_isolate_CM008,Chlamydia_muridarum_str._Nigg_isolate_CM009,Chlamydia_muridarum_str._Nigg_isolate_CM021,Chlamydia_pecorum_E58,Chlamydia_poikilotherma_strain_S15-834K,Chlamydia_psittaci_01DC11,Chlamydia_psittaci_6BC,Chlamydia_psittaci_MN,Chlamydia_psittaci_WSRTE30,Chlamydia_psittaci_strain_AMK,Chlamydia_psittaci_strain_Ful127,Chlamydia_psittaci_strain_GIMC_2003Cps25SM,Chlamydia_psittaci_strain_GIMC_2004CpsAP23,Chlamydia_psittaci_strain_GIMC_2005CpsCP1,Chlamydia_psittaci_strain_NRM_isolate_NRM_5,Chlamydia_serpentis_strain_H15-1957-10C,Chlamydia_suis_isolate_4-29b,Chlamydia_trachomatis_A2497,Chlamydia_trachomatis_EBour,Chlamydia_trachomatis_L1115,Chlamydia_trachomatis_L2b820007,Chlamydia_trachomatis_L2bUCH-2,Chlamydia_trachomatis_RC-L255,Chlamydia_trachomatis_strain_E-32931,Chlamydia_trachomatis_strain_QH111L,Chlamydia_trachomatis_strain_tet9,Chlamydophila_parapsittaci_strain_Rostinovo-70,Waddlia_chondrophila_WSU_86-1044,max_value,max_column
Chlamydia_abortus_strain_162STDY5437294,100.0,99.9986,99.9233,99.4152,99.4152,78.2885,92.7589,82.8332,82.9421,82.3281,78.1468,,,,,,77.2978,83.2346,92.8712,92.8676,92.7583,93.2226,93.4485,92.9236,92.8293,92.8562,92.8595,92.7276,77.9447,,,,,,,,,,,93.4475,,99.9986,Chlamydia_abortus_strain_1B_cevac
Chlamydia_abortus_strain_1B_cevac,99.9986,100.0,99.9219,99.4139,99.4139,78.2889,92.7578,82.8363,82.9421,82.3281,78.1468,,,,,,77.2971,83.2326,92.8707,92.8671,92.758,93.222,93.4479,92.9233,92.8288,92.8557,92.859,92.7274,77.9447,,,,,,,,,,,93.4469,,99.9986,Chlamydia_abortus_strain_162STDY5437294
Chlamydia_abortus_strain_GIMC_2006CabB577,99.9235,99.922,100.0,99.413,99.413,78.2473,92.7422,82.86,83.002,82.4043,78.0032,,,,,,77.0329,83.2608,92.8817,92.899,92.7315,93.1806,93.4361,92.9103,92.8193,92.9086,92.9088,92.7202,78.0104,,,,,,,,,,,93.4389,,99.9235,Chlamydia_abortus_strain_162STDY5437294
Chlamydia_abortus_strain_NL2335-4C,99.3735,99.3723,99.3724,100.0,99.992,78.3398,92.646,83.0605,83.1172,82.5828,78.1241,,,,,,77.4758,83.185,92.8934,92.9043,92.7431,93.29,93.5045,92.9193,92.9124,92.9046,92.9119,92.808,78.0425,,,,,,,,,,,93.5053,,99.992,Chlamydia_abortus_strain_NL2354-2D
Chlamydia_abortus_strain_NL2354-2D,99.3737,99.3725,99.3722,99.9923,100.0,78.3198,92.6558,83.0536,83.0895,82.5669,78.1333,,,,,,77.4759,83.1751,92.8919,92.9099,92.7514,93.2964,93.5058,92.9235,92.9187,92.911,92.9181,92.8073,78.0429,,,,,,,,,,,93.5131,,99.9923,Chlamydia_abortus_strain_NL2335-4C
Chlamydia_avium_10DC88,78.3733,78.3733,78.332,78.5131,78.4837,100.0,78.3802,78.5593,78.2518,78.1612,82.1787,,,,,,,78.4675,78.5565,78.6273,78.5405,78.4558,78.278,78.5724,78.5455,78.4461,78.419,78.4737,,,,,,,,,,,,78.4127,,82.1787,Chlamydia_gallinacea_08-12743
Chlamydia_buteonis_strain_IDL17-4553,92.7277,92.727,92.7453,92.7773,92.7843,78.3628,100.0,83.3642,83.7178,82.6785,78.4758,,,,,,77.5001,83.6461,93.7451,93.7514,93.6014,93.7182,93.5842,93.6754,93.6763,93.7924,93.7916,93.6328,,,,,,,,,,,,93.6339,,93.7924,Chlamydia_psittaci_strain_GIMC_2004CpsAP23
Chlamydia_caviae_GPIC,82.8032,82.8059,82.8176,82.838,82.8711,78.4446,83.3227,100.0,87.0519,83.758,78.4203,,,,,,77.9359,87.0706,83.3622,83.3859,83.2604,83.2841,83.4746,83.3917,83.2516,83.3167,83.3195,83.2806,78.0849,,,,,,,,,,,83.4394,,87.0706,Chlamydia_poikilotherma_strain_S15-834K
Chlamydia_crocodili_strain_No._12,83.1839,83.1839,83.1084,83.0251,83.0344,78.6499,83.7916,87.2203,100.0,83.5183,78.6143,,,,,,77.3689,92.3967,83.5254,83.6102,83.4951,83.6072,83.4646,83.5625,83.5804,83.5979,83.6001,83.5017,78.0086,,,,,,,,,,,83.4877,,92.3967,Chlamydia_poikilotherma_strain_S15-834K
Chlamydia_felis_FeC-56,82.4028,82.4028,82.4774,82.4153,82.4267,77.9724,82.8016,83.4218,83.7213,100.0,78.1131,,,,,,,83.6573,82.6834,82.7051,82.6652,82.6382,82.81,82.6889,82.7694,82.644,82.644,82.6706,,,,,,,,,,,,82.7904,,83.7213,Chlamydia_crocodili_strain_No._12
