,Orphan orthogroups count,Orphan single genes count,Total orphans count
Chlamydia_muridarum_str._Nigg_isolate_CM001,0,15,15
Chlamydia_muridarum_str._Nigg_isolate_CM008,0,0,0
Chlamydia_muridarum_str._Nigg,0,3,3
Chlamydia_muridarum_str._Nigg_isolate_CM009,0,1,1
Chlamydia_gallinacea_08-12743,1,63,65
Chlamydia_poikilotherma_strain_S15-834K,0,36,36
Chlamydia_abortus_strain_NL2354-2D,0,0,0
Chlamydia_trachomatis_EBour,0,11,11
Chlamydia_psittaci_strain_NRM_isolate_NRM_5,0,4,4
Chlamydia_suis_isolate_4-29b,1,61,63
Chlamydia_buteonis_strain_IDL17-4553,0,30,30
Chlamydia_pecorum_E58,0,253,253
Chlamydia_abortus_strain_NL2335-4C,0,0,0
Chlamydia_psittaci_strain_AMK,0,9,9
Chlamydia_psittaci_strain_GIMC_2005CpsCP1,0,0,0
Chlamydia_psittaci_01DC11,0,7,7
Chlamydia_avium_10DC88,0,134,134
Chlamydia_psittaci_strain_GIMC_2004CpsAP23,0,0,0
Chlamydia_abortus_strain_1B_cevac,0,1,1
Chlamydia_abortus_strain_GIMC_2006CabB577,0,17,17
Chlamydia_abortus_strain_162STDY5437294,0,0,0
Chlamydia_psittaci_WSRTE30,0,44,44
Chlamydia_muridarum_str._Nigg_isolate_CM021,0,25,25
Chlamydia_felis_FeC-56,1,61,64
Chlamydia_crocodili_strain_No._12,2,52,56
Chlamydia_psittaci_6BC,0,2,2
Chlamydia_psittaci_strain_Ful127,0,4,4
Chlamydia_trachomatis_L2b820007,0,0,0
Chlamydia_serpentis_strain_H15-1957-10C,4,293,302
Chlamydia_trachomatis_L2bUCH-2,0,0,0
Chlamydia_trachomatis_L1115,0,2,2
Chlamydia_trachomatis_strain_tet9,0,0,0
Chlamydia_trachomatis_strain_E-32931,0,12,12
Chlamydia_caviae_GPIC,0,44,44
Chlamydia_trachomatis_strain_QH111L,0,19,19
Chlamydia_psittaci_strain_GIMC_2003Cps25SM,0,7,7
Chlamydia_psittaci_MN,0,20,20
Chlamydophila_parapsittaci_strain_Rostinovo-70,0,4,4
Chlamydia_trachomatis_RC-L255,0,0,0
Chlamydia_trachomatis_A2497,0,17,17
