query,b1,b6,b7,b8,max_value,max_column
b1,100.0,98.1943,99.9943,98.1601,99.9943,b7
b6,98.1123,100.0,97.7139,98.6317,98.6317,b8
b7,99.9943,97.7504,100.0,97.6811,99.9943,b1
b8,98.0259,98.637,97.6105,100.0,98.637,b6
