OG_name,CAI_mean,CAI_std
OG_0,0.375,0.016
OG_1,0.358,0.016
OG_2,0.425,0.011
OG_3,0.386,0.026
OG_4,0.382,0.02
OG_5,0.327,0.015
OG_6,0.634,0.005
OG_7,0.402,0.014
OG_8,0.576,0.027
OG_9,0.315,0.014
OG_10,0.389,0.016
OG_11,0.765,0.011
OG_12,0.573,0.013
OG_13,0.38,0.022
OG_14,0.282,0.004
OG_15,0.314,0.004
OG_16,0.27,0.001
OG_17,0.341,0.008
OG_18,0.346,0.018
OG_19,0.704,0.017
OG_20,0.351,0.02
OG_21,0.572,0.02
OG_22,0.412,0.016
OG_23,0.503,0.016
OG_24,0.485,0.017
OG_25,0.382,0.015
OG_26,0.248,0.006
OG_27,0.39,0.019
OG_28,0.463,0.012
OG_29,0.586,0.01
OG_30,0.274,0.025
OG_31,0.3,0.012
OG_32,0.286,0.013
OG_33,0.419,0.024
OG_34,0.371,0.016
OG_35,0.483,0.017
OG_36,0.507,0.007
OG_37,0.41,0.01
OG_38,0.424,0.009
OG_39,0.476,0.012
OG_40,0.415,0.019
OG_41,0.42,0.02
OG_42,0.311,0.026
OG_43,0.375,0.015
OG_44,0.356,0.019
OG_45,0.404,0.014
OG_46,0.337,0.001
OG_47,0.426,0.017
OG_48,0.338,0.023
OG_49,0.409,0.016
OG_50,0.335,0.018
OG_51,0.541,0.015
OG_52,0.467,0.014
OG_53,0.402,0.029
OG_54,0.386,0.014
OG_55,0.555,0.014
OG_56,0.394,0.012
OG_57,0.441,0.012
OG_58,0.535,0.019
OG_59,0.451,0.011
OG_60,0.308,0.019
OG_61,0.344,0.008
OG_62,0.3,0.018
OG_63,0.34,0.016
OG_64,0.419,0.01
OG_65,0.369,0.016
OG_66,0.266,0.02
OG_67,0.488,0.015
OG_68,0.505,0.01
OG_69,0.464,0.017
OG_70,0.469,0.007
OG_71,0.339,0.014
OG_72,0.346,0.014
OG_73,0.282,0.01
OG_74,0.386,0.014
OG_75,0.298,0.02
OG_76,0.393,0.024
OG_77,0.306,0.027
OG_78,0.418,0.013
OG_79,0.436,0.014
OG_80,0.448,0.011
OG_81,0.419,0.014
OG_82,0.433,0.017
OG_83,0.367,0.014
OG_84,0.368,0.016
OG_85,0.435,0.012
OG_86,0.341,0.024
OG_87,0.345,0.014
OG_88,0.377,0.016
OG_89,0.578,0.011
OG_90,0.51,0.014
OG_91,0.306,0.018
OG_92,0.59,0.014
OG_93,0.348,0.015
OG_94,0.353,0.019
OG_95,0.368,0.019
OG_96,0.336,0.02
OG_97,0.527,0.013
OG_98,0.278,0.021
OG_99,0.297,0.02
OG_100,0.328,0.017
OG_101,0.364,0.014
OG_102,0.349,0.018
OG_103,0.322,0.019
OG_104,0.471,0.021
OG_105,0.286,0.001
OG_106,0.244,0.008
