OG_name,CAI_mean,CAI_std
OG_0,0.633,0.018
OG_1,0.678,0.022
OG_2,0.664,0.02
OG_3,0.641,0.012
OG_4,0.645,0.009
OG_5,0.666,0.019
OG_6,0.691,0.016
OG_7,0.68,0.025
OG_8,0.686,0.035
OG_9,0.663,0.011
OG_10,0.599,0.029
OG_11,0.7,0.016
OG_12,0.675,0.016
OG_13,0.67,0.044
OG_14,0.667,0.035
OG_15,0.67,0.029
OG_16,0.679,0.02
OG_17,0.69,0.01
OG_18,0.657,0.02
OG_19,0.671,0.025
OG_20,0.674,0.02
OG_21,0.679,0.032
OG_22,0.68,0.017
OG_23,0.705,0.017
OG_24,0.613,0.014
OG_25,0.653,0.036
OG_26,0.654,0.017
OG_27,0.689,0.012
OG_28,0.715,0.018
OG_29,0.688,0.022
OG_30,0.616,0.02
OG_31,0.688,0.015
OG_32,0.645,0.008
OG_33,0.651,0.029
OG_34,0.626,0.016
OG_35,0.685,0.029
OG_36,0.629,0.034
OG_37,0.645,0.013
OG_38,0.637,0.024
OG_39,0.613,0.016
OG_40,0.582,0.017
OG_41,0.607,0.024
OG_42,0.662,0.011
OG_43,0.657,0.011
OG_44,0.647,0.01
OG_45,0.642,0.008
OG_46,0.653,0.017
OG_47,0.634,0.014
OG_48,0.647,0.015
OG_49,0.63,0.023
OG_50,0.646,0.023
OG_51,0.642,0.021
OG_52,0.66,0.019
OG_53,0.635,0.018
OG_54,0.637,0.012
OG_55,0.581,0.013
OG_56,0.651,0.045
OG_57,0.627,0.018
OG_58,0.725,0.023
OG_59,0.638,0.013
OG_60,0.634,0.008
OG_61,0.625,0.014
OG_62,0.618,0.024
OG_63,0.614,0.008
OG_64,0.642,0.017
OG_65,0.619,0.016
OG_66,0.639,0.017
OG_67,0.581,0.022
OG_68,0.608,0.018
OG_69,0.628,0.02
OG_70,0.582,0.009
OG_71,0.551,0.021
OG_72,0.599,0.011
OG_73,0.588,0.031
OG_74,0.636,0.012
OG_75,0.605,0.008
OG_76,0.594,0.02
OG_77,0.593,0.032
OG_78,0.58,0.013
OG_79,0.63,0.021
OG_80,0.627,0.023
OG_81,0.606,0.028
OG_82,0.623,0.02
OG_83,0.659,0.055
OG_84,0.632,0.013
OG_85,0.639,0.017
OG_86,0.657,0.018
OG_87,0.646,0.0
OG_88,0.637,0.0
OG_89,0.645,0.02
