query,Ecoli_APEC_O1,Ecoli_JJ1886,Ecoli_UMN026,Sboydii_Sb227,Sflexneri_5_8401,max_value,max_column
Ecoli_APEC_O1,100.0,98.2648,96.7697,96.2199,96.3384,98.2648,Ecoli_JJ1886
Ecoli_JJ1886,98.2959,100.0,96.8736,96.3051,96.3695,98.2959,Ecoli_APEC_O1
Ecoli_UMN026,96.7816,96.8934,100.0,96.7018,96.7005,96.8934,Ecoli_JJ1886
Sboydii_Sb227,96.3396,96.5134,96.9819,100.0,97.9585,97.9585,Sflexneri_5_8401
Sflexneri_5_8401,96.3201,96.5404,96.9362,97.8922,100.0,97.8922,Sboydii_Sb227
